part,trial,cam,rot_deg,axis,induced_reproj,base_reproj,err_sh,err_el,err_wr,base_err_wr,base_err_el,base_err_sh
P07,trial_10_L_unaffected,0,0.5,0,7.827862529069506,8.007477577651136,36.724533743994094,47.253050889922655,22.560350471721343,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,0.5,1,7.8361227456884475,8.007477577651136,36.53407983437427,47.16735662562856,22.441184071644486,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,0.5,2,8.616260604334297,8.007477577651136,36.823342224999486,47.366277614553056,22.503617953953324,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,1.0,0,8.926735849226016,8.007477577651136,36.36275010923194,47.48732229574094,22.420477891590444,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,1.0,1,9.166984413452408,8.007477577651136,36.45307365804183,47.66177805015081,22.409392456660736,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,1.0,2,8.561956660540108,8.007477577651136,36.25946676523042,47.43467669224907,22.315208529666837,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,2.0,0,12.408522776586992,8.007477577651136,37.670084517198646,47.803384239658165,22.893047913991037,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,2.0,1,11.087895925330958,8.007477577651136,36.51895546144915,46.47738749734862,22.302783833098317,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,2.0,2,10.415579593392646,8.007477577651136,36.727153759525365,47.07833594766622,22.22058461315238,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,4.0,0,16.070227539510476,8.007477577651136,35.5941789783392,47.762682498031175,22.372647807031136,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,4.0,1,16.520739065805312,8.007477577651136,35.71239645724754,48.371988284061885,22.326561580312333,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,4.0,2,13.703994453223626,8.007477577651136,38.056520192970424,46.60063978207296,23.17661213080496,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,8.0,0,22.53424867167139,8.007477577651136,36.79314819111192,48.12317151411558,23.790985792398153,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,8.0,1,27.415164945335533,8.007477577651136,35.88826087455656,44.037442392954546,22.441928301432373,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,0,8.0,2,27.825755142698803,8.007477577651136,39.83598952910189,46.42886105556384,23.69582294920035,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,0.5,0,8.622303421073784,8.007477577651136,36.833798284978435,47.46200085326219,22.61756346534082,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,0.5,1,8.134028686149009,8.007477577651136,36.812824822937095,47.5677500723511,22.600628207125478,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,0.5,2,9.908551130317338,8.007477577651136,36.68117565162977,47.27975074220919,22.494941689038473,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,1.0,0,12.876140015594537,8.007477577651136,36.70393077640448,47.40107840031694,22.557574060263278,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,1.0,1,10.806838197246943,8.007477577651136,36.4541033625495,47.04517125741003,22.24423411723829,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,1.0,2,9.822847668669272,8.007477577651136,36.70393593931029,46.87563503809023,22.41686010700049,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,2.0,0,17.584715065906444,8.007477577651136,36.52132635247875,48.00970813127142,22.608748906783504,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,2.0,1,15.665174916772582,8.007477577651136,37.28962608520155,48.15180151860405,22.97706621467491,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,2.0,2,16.69953592255726,8.007477577651136,36.58324210778301,47.15865901628074,22.458316760251954,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,4.0,0,16.87561039240792,8.007477577651136,37.280405328015036,46.27564878319304,22.605362527976787,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,4.0,1,23.218457210888765,8.007477577651136,36.38990487935384,46.04322935030652,22.11971853688087,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,4.0,2,33.662629547659705,8.007477577651136,37.796716658846506,49.84342519021342,23.79926901650386,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,8.0,0,27.008924803090284,8.007477577651136,34.510560764454,46.741868254616385,20.974703686756666,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,8.0,1,50.848107215069135,8.007477577651136,37.345015050056816,49.267737590560216,23.32978115835175,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,1,8.0,2,33.159521598161255,8.007477577651136,37.40161228795817,45.33134129277309,22.476873422195485,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,0.5,0,8.824111074910654,8.007477577651136,36.682014510579194,47.55516067724577,22.563811443114258,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,0.5,1,8.730038166648889,8.007477577651136,36.75941992047633,47.34867646663436,22.512923406462047,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,0.5,2,8.206791789275673,8.007477577651136,36.60970302183186,47.3787405084571,22.481977842683712,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,1.0,0,10.982439077011549,8.007477577651136,36.82697045936377,47.426980364712776,22.578883458916668,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,1.0,1,10.234407640119644,8.007477577651136,36.74701444143938,47.03357591775542,22.380786787434236,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,1.0,2,11.400437386926091,8.007477577651136,36.785358003457695,47.20679977496204,22.500320687389145,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,2.0,0,14.867022320788935,8.007477577651136,36.78468275603548,47.68014901740243,22.750557106564568,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,2.0,1,10.220633696393309,8.007477577651136,36.802479374758526,46.8748430784104,22.251439376980684,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,2.0,2,10.768053628491757,8.007477577651136,36.7915778139378,46.82063074804613,22.23386569207539,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,4.0,0,15.007511783980005,8.007477577651136,37.17090703843563,47.576259312626235,22.551473290214112,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,4.0,1,21.100601506338663,8.007477577651136,36.75357738164098,48.48000399851477,22.665143894797307,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,4.0,2,20.062734706231247,8.007477577651136,36.77596719866284,47.769395960162875,22.939690463356126,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,8.0,0,37.679063017611895,8.007477577651136,37.02732471525983,49.279005112756785,23.612605871269192,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,8.0,1,36.69268118666532,8.007477577651136,37.17241475457876,47.08396811669173,22.38417831703214,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,2,8.0,2,41.563890652253725,8.007477577651136,37.52889500540107,51.25177347674497,23.73287433223687,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,0.5,0,9.145968671053026,8.007477577651136,36.596728653867196,47.088591231949614,22.362065730940436,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,0.5,1,9.178024356425475,8.007477577651136,36.64686237888863,47.04915136678356,22.372401504762593,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,0.5,2,9.17144781136166,8.007477577651136,36.608396255340885,47.16504732623384,22.387685091597028,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,1.0,0,8.143300430040288,8.007477577651136,36.68544708185536,47.642198123639815,22.668051745867388,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,1.0,1,10.186455872031939,8.007477577651136,36.83680484501068,47.92436524885373,22.614928252829614,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,1.0,2,9.44602558999711,8.007477577651136,36.6466963464093,47.24214668139875,22.528958779635566,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,2.0,0,12.34428920805717,8.007477577651136,36.67308117530149,47.3024330799062,22.642599793650362,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,2.0,1,8.261183823257166,8.007477577651136,36.63342000077558,47.79901207722976,22.7998947128841,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,2.0,2,18.210100953473166,8.007477577651136,36.61440139130873,46.77299478676738,22.221274320978512,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,4.0,0,10.93717622601287,8.007477577651136,36.92048313451518,47.66199203582838,22.28616910363511,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,4.0,1,12.735333662487392,8.007477577651136,36.54493373995963,47.29636547104494,22.85004575321983,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,4.0,2,30.94129540261954,8.007477577651136,36.131929069411036,46.815127961560776,21.86914965888459,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,8.0,0,75.14938110572683,8.007477577651136,34.82872668151521,42.72530002882689,19.77246309402429,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,8.0,1,15.640239052611381,8.007477577651136,36.25700419084547,50.58619155566975,24.10420708121595,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,3,8.0,2,58.211488526465246,8.007477577651136,37.707686996616886,59.82975582818527,25.91700865003715,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,0.5,0,8.08111392769689,8.007477577651136,36.755588305497156,47.62061686804025,22.61264476291185,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,0.5,1,7.915881644425273,8.007477577651136,36.687458840375015,47.555215926501205,22.538647973095756,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,0.5,2,8.115171461706538,8.007477577651136,36.50140050930578,47.10788508512019,22.270478864205916,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,1.0,0,8.349565361725597,8.007477577651136,37.11455332901126,47.75799917856713,22.895354611564386,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,1.0,1,9.43512159722458,8.007477577651136,36.70455474392307,47.56849849484102,22.6836890788619,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,1.0,2,9.230249698859327,8.007477577651136,36.90579242484428,47.83202794103111,22.881214880790996,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,2.0,0,9.702921952887667,8.007477577651136,36.68473522686111,46.56785407142176,22.150394765656625,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,2.0,1,10.571365173501672,8.007477577651136,37.05318575073152,48.44136251748788,23.046291642527382,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,2.0,2,11.444585466158001,8.007477577651136,36.80371563929867,48.41489435439892,23.079875740234616,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,4.0,0,11.632703643164163,8.007477577651136,36.21356713326887,48.17885789715106,22.39073906565891,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,4.0,1,16.347436713445912,8.007477577651136,35.672235206388436,45.83188688162886,21.470735165106312,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,4.0,2,14.946251210227565,8.007477577651136,36.110831301872324,49.01937362876208,22.771302610135393,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,8.0,0,13.948103369485843,8.007477577651136,40.52450639188146,49.570635231251224,25.86854089478668,22.490085260024085,47.36648845052122,36.67960553146533
P07,trial_10_L_unaffected,4,8.0,1,22.084439724412782,8.007477577651136,36.8650761297691,50.27033018485793,25.04123593283059,22.490085260024085,47.36648845052122,36.67960553146533
