part,trial,side,flex_mmc_max,automq_flex,ij_mmc,automq_ij,flex_omc_sag_max,ij_omc_sag
P07,10,L,59.05363754548845,57.619569667507506,0.9859346203742458,0.9413838027563174,47.70273906723694,0.9698113054280553
P07,13,L,50.820455170159384,62.79601767313398,0.9819484287885675,0.9420635266240028,51.81403986670667,0.9816219753585099
P07,14,L,60.89534425514807,59.49030647647549,0.977636633041789,0.9445628823109831,48.52225184474914,0.9738992073276792
P07,15,L,48.424289226943145,59.02507750387635,0.9834824179005424,0.9434220911095781,49.151678736175306,0.9748555977080101
P07,17,L,51.955900760462995,65.61415771994267,0.9779894471782252,0.9092118900512809,54.5855471890888,0.9532261789803507
P07,18,L,45.565165242384126,56.00642849727984,0.9778716265073216,0.9366289402220712,45.71829272714833,0.9747810514540443
P07,19,L,57.043653542284304,58.35659639088948,0.9622649090983241,0.9308074483911538,47.489597618722016,0.9649467687303732
P07,20,L,,51.1394941726016,,0.9358055051123091,39.426747902962845,0.9715169408977218
P07,21,L,41.80749157368045,52.490643363836185,0.9828211348844678,0.9342646958197036,43.009248123684685,0.9602906597410665
P07,22,L,37.704248752765714,49.92392951715217,0.9807494715285435,0.9439732020781401,41.553476886591916,0.9721203158004605
P07,23,L,49.98166707005504,59.001576883282986,0.977568690124374,0.9399367463167728,49.029162069122044,0.9663156415706552
P07,24,L,52.53074376606809,63.82855335154239,0.9935788896543712,0.9495515809460178,53.179678603060815,0.9734801926620665
P07,26,L,48.49224720390309,58.48656774197301,0.9749729525008245,0.9419061751189652,49.40819514511254,0.9673743452113991
P07,27,L,,59.892073731574285,,0.9145280437432932,50.18552934362835,0.9497830187276813
P07,28,L,43.64252288290095,54.91409605578645,0.9789574032999327,0.9437490228174438,45.50885089901445,0.964978682459287
P07,2,L,,46.164510170887155,,0.959410855242258,44.53500944014049,0.9841567057693232
P07,30,L,48.2278356729708,57.89591152932632,0.98262136543255,0.9584481337768977,48.19557080550614,0.9783457166374477
P07,31,L,43.209874959032895,53.5633699460561,0.9701220307310746,0.9475993120258018,44.17089277792179,0.969239547657059
P07,32,L,53.42433481013061,57.76055246445462,0.9660947757678788,0.9456809146583091,48.70122620713317,0.9675964341101742
P07,33,L,52.21740566398464,64.42763332187123,0.9800617828784417,0.9288773930255635,53.665818518753795,0.9559434730432933
P07,34,L,55.08735405468503,65.91811358228601,0.9789337730961982,0.9268155563779665,55.047308790271934,0.962669225197269
P07,35,L,49.82399376999736,61.9671376992882,0.980943196062655,0.9646904256290053,51.7181068500938,0.9852154462561018
P07,36,L,57.58731763885194,58.79574081470223,0.9545677085857048,0.9194629201237419,49.315893836937384,0.9424420669662007
P07,37,L,54.66155150618394,57.86595033696263,0.9710330538128199,0.9461103166516998,48.644456354427476,0.958347057943233
P07,38,L,54.710713903920634,59.99429030424908,0.9850935160804045,0.9613159199699133,49.93445100228494,0.9749712342657131
P07,41,L,57.86682844607282,70.09563583556647,0.965253010613186,0.9033629767391755,58.23101886307364,0.9487343232917216
P07,42,L,48.672907375144085,63.50926206449417,0.9792458700745095,0.9341462986250697,52.64836407847218,0.9630263187476901
P07,43,R,53.785575747609485,47.196314496763854,0.8832659901877856,0.9171352843763894,44.032728599245246,0.8844074499868416
P07,44,R,41.78861043296147,58.35226498811271,0.9020874202843443,0.9149160282322552,49.90518515126556,0.9825989314947917
P07,46,R,48.4151874437625,65.7169011875781,0.8636756249229983,0.8528734277251185,53.896346474787556,0.9721568640941891
P07,48,R,36.743600551925056,54.7117614928205,0.6989803765490795,0.7326386224832623,45.6242590317306,0.925118268746342
P07,49,R,46.56275498215303,69.41501479979092,0.8119997398906118,0.8095699845524469,56.11111865495102,0.9326731845920259
P07,52,R,54.98818810098431,76.49339530799261,0.8635226332845216,0.8737496052034586,58.9884731058103,0.9807134058620559
P07,53,R,45.14245187170261,67.61456430552526,0.924062054635594,0.8855685866757396,54.029238055226074,0.9627699839853433
P07,54,R,51.30929992599529,70.35023163283661,0.868646969928303,0.9223870325278026,55.786448831586306,0.9553824231143314
P07,55,R,46.36676882301741,67.2322203869085,0.9490825305745185,0.927647049754294,55.48623584561341,0.9678468532554685
P07,56,R,44.903236904858666,67.00928675531841,0.8355743143848801,0.850737749608622,53.99608126195985,0.9617504406949806
P07,57,R,49.96151009695748,62.72175128434914,0.9619913906476859,0.9434823536969882,52.35981200864677,0.9812926362691178
P07,59,R,64.17486166104126,68.38738265533013,0.8735788292513105,0.8591916523536924,53.95008025112038,0.9647947948395031
P07,60,R,41.28286099866762,63.17033183138458,0.9727383615524052,0.9692873221116813,50.687108591304344,0.9710148938645685
P07,61,R,43.96632617322487,62.323770909743956,0.9208048249030909,0.9284936724897179,49.82408194399324,0.9678819789608879
P07,62,R,50.74330629326339,70.23249378019294,0.923142994825254,0.9341650542560258,54.76798476625139,0.9835427413444071
P07,63,R,37.611071034529964,50.31227625007398,0.7705735995982546,0.8841834755544853,42.525754246335296,0.9691402407164954
P07,64,R,28.886328493348657,47.006210435855586,0.9685759822303397,0.939855185248192,56.586706542252806,0.9796474944043299
P07,65,R,48.11854069716381,71.84141335713224,0.8628835161215569,0.7840288388006225,57.77443289891642,0.9641963262856075
P07,66,R,44.55445582177763,69.58423657318124,0.9117607912365576,0.8812898657023336,55.8720904530322,0.9726688903716654
P07,67,R,44.0260175612045,68.47569247696876,0.9038827218556079,0.8583417241238184,57.01269043312979,0.9732338382132989
P07,68,R,77.82745637429011,78.40730561746,0.7790292067632769,0.8474202846752764,62.477159213203706,0.9788521164669717
P07,69,R,76.60346975170262,80.5053336946798,0.8890937436447307,0.9033372539993235,62.24756322446199,0.9831196721858679
P07,72,R,42.18480508790732,59.58119254194387,0.9380292267042983,0.878509818964935,50.3895793490824,0.9710579726846873
P07,73,R,45.80795944824192,67.2934332748582,0.9765651871147565,0.965991242236956,56.23369605350834,0.9935390212372716
P07,74,R,54.36579957224618,70.34319233893312,0.9730859698087756,0.9399209471087879,57.484652906557045,0.9909699809412083
P07,75,R,,70.72664699425152,,0.9186416177562302,57.78713632927794,0.9834096471615462
