part,trial,side,flexM,abdM,automq_flex,automq_abd,ijM,automq_ij,flexO,abdO,ijO
P07,10,L,57.70983646690843,35.83600109035617,57.619569667507506,28.13492624298928,0.9875904979863821,0.9413838027563174,48.278646960728665,27.945583899711398,0.9690274150552334
P07,13,L,51.73120593107059,22.683851563036807,62.79601767313398,32.74390814153139,0.977120205243541,0.9420635266240028,52.374781437662946,30.20764352556487,0.9812016323826204
P07,14,L,59.898959407440685,37.27401648689498,59.49030647647549,30.598710223326055,0.978152838950903,0.9445628823109831,49.1536555875569,28.891354595843378,0.9733182980454638
P07,15,L,49.528456133505244,17.63533771255408,59.02507750387635,28.337440606051725,0.9798018119524926,0.9434220911095781,49.68513110124935,28.000430462945467,0.9739756919204056
P07,17,L,53.37758319393433,21.995276626255194,65.61415771994267,36.158291940570976,0.9707116346955368,0.9092118900512809,55.24261190722844,33.176367940105195,0.9522409342251564
P07,18,L,45.76995056476339,16.679107076222735,56.00642849727984,26.532488857109215,0.972846946830603,0.9366289402220712,46.20199583858028,25.66683005403677,0.9740916126083503
P07,19,L,57.53975885609416,28.71398489273472,58.35659639088948,29.35149709910307,0.9606150132990581,0.9308074483911538,48.04554046244664,28.024848930089366,0.9642409299040365
P07,20,L,,,51.1394941726016,25.344463717578446,,0.9358055051123091,39.274943154355746,22.729533132028134,0.9707204614590473
P07,21,L,42.26149957590315,16.33768125511644,52.490643363836185,25.42253894253317,0.9790598930046323,0.9342646958197036,43.31027074055991,24.297319375179494,0.9594156191569382
P07,22,L,38.39546540149741,18.34912458185033,49.92392951715217,25.969062373787754,0.975820354917646,0.9439732020781401,41.59373730445518,24.903640565527667,0.971510808326578
P07,23,L,50.62150974259586,16.50221385897947,59.001576883282986,26.816899450021044,0.9710159739494054,0.9399367463167728,49.518739417064616,27.96266189576112,0.9657244037270744
P07,24,L,53.436258016048974,17.35488033115755,63.82855335154239,31.989883518092913,0.9896715607161866,0.9495515809460178,53.71663071129681,31.3382355932302,0.9729461752798911
P07,26,L,49.43457617593818,18.673214076787566,58.48656774197301,27.625229345798417,0.9669596862401294,0.9419061751189652,49.922077499022855,28.859997460989675,0.9665849292622505
P07,27,L,,,59.892073731574285,29.780070043301453,,0.9145280437432932,50.790477763416185,30.424182154914398,0.9487207555521288
P07,28,L,44.37982320001899,18.34739007742631,54.91409605578645,26.093507586266735,0.9717477663122981,0.9437490228174438,45.9633888815344,26.843964385700772,0.9643814560947073
P07,2,L,,,46.164510170887155,24.032130136277694,,0.959410855242258,44.555826715783425,23.693939479286342,0.9838328614291142
P07,30,L,48.01244929802662,19.981815738279302,57.89591152932632,27.729311444906074,0.9792080853070602,0.9584481337768977,48.77032373363562,28.96048727676966,0.9777058983465731
P07,31,L,43.50173014865021,16.016825874294746,53.5633699460561,25.556343460265666,0.9637525129773001,0.9475993120258018,44.544604099476125,25.414734567666322,0.9684977099358281
P07,32,L,54.06432797333336,21.063954129766017,57.76055246445462,25.67326014581202,0.9604484448850603,0.9456809146583091,49.11189654214426,25.497382397642145,0.9668957325154048
P07,33,L,53.87648909993383,24.48763784730904,64.42763332187123,36.77228733720008,0.9744714771979996,0.9288773930255635,54.4875152126063,35.351849225822065,0.9551852662081556
P07,34,L,56.583193292332055,26.00484583912021,65.91811358228601,38.7252410081827,0.9750182582225599,0.9268155563779665,55.839961662980016,36.67876477140357,0.9619109720907281
P07,35,L,50.89891993322935,23.268401006437855,61.9671376992882,33.687108278682885,0.9764308206357482,0.9646904256290053,52.42310124089474,33.23184000100969,0.9847982173966767
P07,36,L,58.31327130859654,30.553198058926714,58.79574081470223,31.69165931317437,0.9470825221719719,0.9194629201237419,49.97937698845899,31.821786798735772,0.941262061650464
P07,37,L,55.40344841618695,27.980376127154315,57.86595033696263,29.130436944696406,0.9649704534104149,0.9461103166516998,49.302311352196305,30.186716354493022,0.9572199348776912
P07,38,L,56.29747112818252,29.41985971066074,59.99429030424908,32.26272352354477,0.9782593630314048,0.9613159199699133,50.660714153283635,31.705580939138763,0.9745162534946659
P07,41,L,60.19326626720338,36.08163544565146,70.09563583556647,50.33217995883102,0.9573873964782561,0.9033629767391755,59.406371956718814,44.524387480071276,0.9476452679775278
P07,42,L,50.119466459691935,24.25468086318712,63.50926206449417,37.027813281669715,0.9727743134805025,0.9341462986250697,53.41558878617648,34.821481040530685,0.962096086426187
P07,43,R,48.31465667142358,40.02143210062377,47.196314496763854,47.88654213391753,0.9300207947999333,0.9171352843763894,44.08565645224305,41.06326611003595,0.890038737558725
P07,44,R,46.28960442339552,44.5227234477033,58.35226498811271,58.812620209127736,0.9046877487122383,0.9149160282322552,49.97134259214724,47.090895350851504,0.9825438273342573
P07,46,R,54.45481267104245,54.82298536098835,65.7169011875781,68.04079213973579,0.8652589027293976,0.8528734277251185,53.923654644958305,54.09823818204243,0.9722734242396316
P07,48,R,40.473482580318944,34.129239960895745,54.7117614928205,53.04562861519715,0.7409282618533994,0.7326386224832623,45.578524371067545,40.42789296949597,0.9241097075245454
P07,49,R,53.47811525405783,55.85507087385191,69.41501479979092,71.39657513223898,0.8057816679083323,0.8095699845524469,56.449816762242286,55.76767879731759,0.9327580581469667
P07,52,R,63.86834421559176,69.63332524309949,76.49339530799261,80.39784025478534,0.8547172158431366,0.8737496052034586,59.91207103737896,63.88670270107475,0.9808443492487579
P07,53,R,52.31590209314453,54.93913087945406,67.61456430552526,68.75032634529302,0.9144967915187333,0.8855685866757396,54.27949854639417,51.82041769779783,0.9629813387423339
P07,54,R,58.02271464517884,58.969849916384966,70.35023163283661,72.78081807787039,0.8671292765736762,0.9223870325278026,56.164585405906514,56.330836897247956,0.9554700146146458
P07,55,R,52.96926602417148,55.004133928385215,67.2322203869085,69.22579915536788,0.9431798392747974,0.927647049754294,55.56837096157906,54.31138281212805,0.967682345758459
P07,56,R,50.88027036795825,52.210450370379924,67.00928675531841,68.25813953115349,0.8330133391463398,0.850737749608622,54.261376459936336,51.975951158173615,0.9615033406671655
P07,57,R,54.680320893071375,46.992496075070235,62.72175128434914,61.947266883529494,0.9570169286626116,0.9434823536969882,52.38660996896773,47.77198288132729,0.981700156149748
P07,59,R,66.87064898499095,55.69516374270697,68.38738265533013,69.69426520682046,0.8868562879428818,0.8591916523536924,53.94861675690843,52.37963901033303,0.9647510263299344
P07,60,R,46.93139273478908,49.03924948459863,63.17033183138458,64.31478865727053,0.9690629467798488,0.9692873221116813,50.7285756701238,48.2129096647375,0.9703105874514159
P07,61,R,47.87177689143126,42.072376400871384,62.323770909743956,60.296965633301795,0.9141702234166035,0.9284936724897179,49.85265037903831,43.30658341395189,0.967175092347718
P07,62,R,56.92122353762964,58.78658158820978,70.23249378019294,72.37890044293798,0.9156802352004049,0.9341650542560258,55.19720503135781,54.940750131407846,0.9838894443497251
P07,63,R,39.38512691190102,21.79961766460859,50.31227625007398,42.55828824091906,0.767444997335726,0.8841834755544853,42.45577352986399,31.335806818599284,0.9698659238654512
P07,64,R,31.43784024206718,29.400392226786646,47.006210435855586,47.51049516076514,0.9631407769978073,0.939855185248192,39.72484091766552,36.34596280015694,0.9808826032038179
P07,65,R,54.488436544745156,58.583415168713294,71.84141335713224,73.6601670887252,0.8552098259055327,0.7840288388006225,57.76452728998788,56.942602196543795,0.9641801300014411
P07,66,R,51.36581881219764,55.35444274127032,69.58423657318124,71.41919970681452,0.8960018829548798,0.8812898657023336,55.88581767860687,55.3472890448918,0.9725678511924631
P07,67,R,51.60465639148654,57.92329543305638,68.47569247696876,71.69136325352372,0.8972233235544863,0.8583417241238184,56.92285412455621,57.55967665908011,0.9730734460123647
P07,68,R,82.73337374244566,81.74714259463035,78.40730561746,82.63954850266846,0.8290986963869137,0.8474202846752764,63.04535012942786,68.68078612239336,0.9792526426971104
P07,69,R,83.95368182086011,83.98992157283222,80.5053336946798,84.06591889469895,0.901824307057493,0.9033372539993235,63.915463861654565,70.06972185763892,0.9832637533676212
P07,72,R,45.58279077528485,46.27784303160803,59.58119254194387,60.634921884330396,0.9263648570843466,0.878509818964935,50.19848237607782,47.41521695248336,0.9710786293955264
P07,73,R,50.88604680050058,53.40982267246887,67.2934332748582,69.85439877942426,0.9746749576348792,0.965991242236956,55.93867291117384,54.99412436218109,0.9938204936410848
P07,74,R,58.448281332689284,64.03246044428599,70.34319233893312,75.64822468767761,0.9748529087507135,0.9399209471087879,57.373035422110135,61.182877017713295,0.9910215133966053
P07,75,R,,,70.72664699425152,72.84887342747761,,0.9186416177562302,57.741463495983545,57.36612628990722,0.9836999670093646
P07,76,R,58.74699600501581,59.362673035373035,70.76377386015679,71.6508028206209,0.861844979671988,0.8137306023068948,56.834163672339635,54.30903824112799,0.9652964058905145
P07,77,R,,,43.944892422875036,40.15293170147231,,0.9356771911414498,42.67187881195052,31.549076849550516,0.9843716041286524
P07,78,R,55.253383238659545,57.64518107771385,68.02639008892365,69.70330549238544,0.933207686842619,0.9191870652600085,55.25250845037009,54.38605898794536,0.9691157699498011
P07,79,R,48.83967334593957,52.817593650324014,63.84276106563769,67.26415820894596,0.9150359920736963,0.8241672656780827,51.67093989995876,52.60438284337388,0.9482358125678111
P07,7,L,45.3950249072092,18.849790815805815,50.57890241682054,24.923341831403942,0.9516284491355755,0.929355282743276,42.995820201944355,24.703376090230194,0.9667639836423768
P07,80,R,56.07573937405237,53.800719438078104,63.44815800939306,66.05098958233711,0.9655186558554574,0.9514692343551998,52.0449592855138,51.2293097709275,0.9909448223116675
P07,81,R,63.201167341258234,68.6458868369828,75.18095311983527,78.15379724964652,0.9634096885792727,0.9382633364955635,59.87199895152989,61.38991277567034,0.9879630739045284
P07,82,R,54.2522169998077,55.69777815538872,72.91706576711361,72.77742581180554,0.9731326746822011,0.9532374890651649,57.93804457185812,54.00362726458615,0.9901034332602795
P07,83,R,60.29847066397231,65.1525407173142,71.14557528583919,74.12296150680986,0.9629129997977383,0.9621882684505253,58.43990076933238,59.383597728574834,0.9946791450888781
P07,8,L,54.051327069510656,26.31121732125795,53.86388861506135,24.89022721265184,0.9718692286408396,0.9585600877677515,45.358897802670896,24.182519864019145,0.9793348785429177
P07,9,L,56.846426430542074,27.14985964372671,55.99218277043931,24.280907161461702,0.9701061629862467,0.9486178353028482,47.530586635806365,25.17573084107337,0.9687882303357472
P08,10,R,34.352410139549264,25.17048010156448,43.868189687847114,35.62041924991206,0.9660253307318083,0.9655913886844742,36.330336029195024,33.043790356414355,0.9825819726463201
P08,13,R,33.111761097888824,27.772328985679973,40.05797261666432,35.09270138483724,0.9611532528578226,0.9496288397482263,32.28084821544394,32.23146503685068,0.9715952223229094
P08,14,R,34.80694332218256,26.640682308981848,40.547045801407506,35.33892770080168,0.9554270023193623,0.9485326618288282,33.01212672043104,32.916713342177445,0.9714147188707559
P08,15,R,29.55800528149006,25.17057108308153,41.844853117192066,36.0459082651711,0.9505979544719678,0.9438115183996645,34.2034856630301,33.77725984796668,0.9752329099974125
P08,16,R,33.238981926258376,28.606788243493728,41.49869565732794,34.95070643027191,0.979664483424824,0.9718315347681044,33.90720219065966,32.95185110114376,0.9753639172252759
