part,trial,side,n_cam,cov_maxang,cov_meanang,reproj_med,pose_sh,pose_el,pose_wr,err_interjoint_coordination,err_max_elbow_angle,err_max_shoulder_abduction,err_max_shoulder_flexion,err_max_trunk_displacement,err_number_of_movement_units,err_peak_elbow_angular_velocity,err_peak_velocity,err_time_to_first_peak_velocity,err_time_to_first_peak_velocity_percent,err_time_to_peak_velocity,err_time_to_peak_velocity_percent,err_total_movement_time
P07,trial_10_L_unaffected,left,5,134.0478515625,63.683311462402344,8.015536553026893,35.81579483570078,45.73540964251979,22.19707830850205,0.015799651083234223,2.345572514671204,1.3090127856834002,2.0804910820896083,12.20708472395824,2.0,15.409191049398729,47.69118636601502,0.026666666666666616,0.11250401800064225,0.043333333333333446,1.5268402442944407,0.0
P07,trial_11_L_unaffected,left,5,135.72348022460938,64.14808654785156,7.767699474767784,34.80319014735513,44.42094782687449,20.008296940464234,,,,,,,,,,,,,
P07,trial_12_L_unaffected,left,5,135.9070587158203,64.07926940917969,7.9135991740052445,35.999804450940886,45.803339862728166,20.271069229901453,,,,,,,,,,,,,
P07,trial_13_L_unaffected,left,5,134.00465393066406,63.7241096496582,7.578409262385536,37.10272200160989,47.13778814335044,19.569437529825432,0.03070775908000356,3.0799865330881744,4.861689206374461,5.333560173648344,15.781989355517396,0.0,6.306101456238608,17.90257785814032,0.07333333333333303,5.693296602387509,0.039999999999999813,2.915518824609734,0.006666666666666821
P07,trial_14_L_unaffected,left,5,133.64805603027344,63.56154251098633,7.719429290441333,36.763669589567954,47.42721984250497,21.73977015876052,0.019892455670890374,3.168454816419427,2.1973063136823363,4.55125592943002,7.351180840261598,0.0,16.17095049583554,16.119668475736376,0.013333333333333197,2.0289855072463716,0.029999999999999805,0.5797101449275353,0.009999999999999787
P07,trial_15_L_unaffected,left,5,135.9733123779297,64.12736511230469,7.910987393981598,37.14756071892252,47.491515543156204,18.8846075104659,0.02903726510016802,1.6805703994627095,2.9841202494800356,1.7103789173978399,11.739151542218423,1.0,11.958109727652882,107.37749177172475,0.036666666666666625,2.4242424242424185,0.036666666666666625,2.4242424242424185,0.013333333333333641
P07,trial_16_L_unaffected,left,5,135.78892517089844,64.15621185302734,8.158837092256544,37.28571471071755,45.40708688809302,20.2204925150951,,,,,,,,,,,,,
P07,trial_17_L_unaffected,left,5,135.43373107910156,64.01065826416016,8.035444864664807,36.2397666897962,46.40999898409716,21.976065154286488,0.03645369504174478,5.05450279248663,3.1769559572353856,4.473816988014477,10.926412756167423,2.0,12.225395240942305,29.142911824520525,0.08333333333333326,4.515877147319102,0.016666666666666607,1.3664757938573686,0.006666666666666821
P07,trial_18_L_unaffected,left,5,134.6411895751953,64.01167297363281,7.659549380103089,37.43421042335125,47.87984651014648,23.608125803580677,0.019274956423501632,4.984165841726991,7.402014811201973,4.191800477112153,12.466363487102878,1.0,8.928325996991177,10.449625850928442,0.013333333333333197,5.2173913043478315,0.0033333333333334103,3.7681159420289845,0.0
P07,trial_19_L_unaffected,left,5,133.61431884765625,63.654685974121094,7.099396988722917,36.229773065834515,48.101711790189974,20.934908531567096,0.028188233615797142,2.3467523798922514,5.490712038416522,3.409232850905134,13.088793011332974,1.0,23.958687233867977,55.5282874814435,0.1100000000000001,13.325265564071536,0.1100000000000001,13.325265564071536,0.013333333333333641
P07,trial_1_L_unaffected,left,5,140.9436492919922,67.07423400878906,8.665391632808731,37.091583060719465,42.12830148079439,20.223463227786446,,,,,,,,,,,,,
P07,trial_20_L_unaffected,left,5,145.95098876953125,69.54393005371094,7.195560236158442,37.855378916531876,48.08706567800381,19.74427315925145,0.0328380854706124,0.7770831612142217,6.999142056480029,4.843847934378104,11.151056113428726,1.0,3.465848105412448,35.43204289339212,0.03333333333333344,6.397405660377359,0.0,3.272405660377359,0.0033333333333329662
P07,trial_21_L_unaffected,left,5,134.5575714111328,64.08940124511719,7.7906862461448725,38.80472869735936,47.141283028972616,19.88561628302905,0.031531366855567566,3.4715666128074076,6.85204748484119,2.9313489214918533,10.436276695828436,0.0,30.838490505567194,12.949195272140514,0.033333333333333326,4.373449131513645,0.016666666666666607,2.7605459057071933,0.0033333333333338544
P07,trial_22_L_unaffected,left,5,132.42567443847656,63.45005416870117,7.365166861366054,39.851906049548376,48.87191381315046,20.073682835123456,0.01606053071272262,3.73650841689809,7.944264999023712,4.8607015687256805,7.694567626517056,0.0,8.332319811349862,0.6153184594375034,0.010000000000000009,2.4503722084367254,0.010000000000000009,2.4503722084367254,0.009999999999999787
P07,trial_23_L_unaffected,left,5,133.61224365234375,63.71550750732422,7.664339688246915,36.829201843792504,46.92570186164399,21.693130786094734,0.021616401710126798,2.435746743249439,4.9366709630142935,4.171007008224258,12.440021712435698,1.0,26.95345239102224,18.231183590837873,0.010000000000000009,2.1463757916959914,0.026666666666666727,0.42223786066150737,0.0033333333333329662
P07,trial_24_L_unaffected,left,5,132.96096801757812,63.51118087768555,7.83207577807114,37.29437733171243,46.78728252117172,23.56702504135305,0.019594033163403024,4.6555650230950505,3.7521301059681953,5.429103573324646,2.8896710009713544,0.0,0.7310581157271656,21.884241775550322,0.020000000000000018,3.5991531404375436,0.020000000000000018,3.5991531404375436,0.0033333333333329662
P07,trial_25_L_unaffected,left,5,133.3726806640625,63.55604934692383,7.518910464630681,37.811491811408466,47.50166321986622,25.11912162800669,,,,,,,,,,,,,
P07,trial_26_L_unaffected,left,5,133.64794921875,63.59516143798828,7.4210947417999655,38.5116859070083,47.85132516857251,21.267481653845802,0.01867103274520676,3.662035826879361,5.937252717314998,2.938251703758624,11.551389976834493,1.0,3.622974184589779,27.449685552801725,0.040000000000000036,5.151515151515149,0.040000000000000036,5.151515151515149,0.0
P07,trial_27_L_unaffected,left,5,133.89801025390625,63.60951614379883,7.7677549810602775,36.90981031377658,46.85553446569274,21.001749657823012,0.027249963453333192,3.635099838414277,5.7813600471154345,3.534562354866978,8.62966853210989,1.0,0.9243121624612627,23.687971156956905,0.02666666666666684,3.2311516155758078,0.010000000000000009,1.8227009113504558,0.006666666666666821
P07,trial_28_L_unaffected,left,5,133.5033416748047,63.593505859375,7.353365367464419,37.941160469747025,47.8872028025874,21.96880779505888,0.021123584810335827,1.785506102150947,5.98994477513337,5.3315544062572755,15.472980871505072,1.0,12.468644956741741,26.336571545664924,0.06333333333333346,6.666666666666664,0.046666666666666634,5.151515151515149,0.0
P07,trial_29_L_unaffected,left,5,133.8050537109375,63.66731643676758,7.92787766063824,38.29810409076071,47.54409015556307,21.924669484081416,,,,,,,,,,,,,
P07,trial_2_L_unaffected,left,5,134.3228759765625,63.74519729614258,7.433165952207128,37.6645165170305,47.32991382317293,17.919563378353196,0.010005014540682367,5.323597034912865,5.335259983971092,1.5528972389060485,9.998858320144329,0.0,15.152647748349324,2.1541709130229947,0.013333333333333308,1.415094339622641,0.030000000000000027,2.977594339622641,0.0033333333333338544
P07,trial_30_L_unaffected,left,5,134.4427490234375,63.92060089111328,7.709797458320571,37.89232343946869,46.681368510305106,21.71257340766001,0.001333045417093559,4.215751705518954,5.154980911552098,2.7745289157726987,13.715102814425997,0.0,1.1318666109568198,37.22422515186952,0.020000000000000018,0.5787037037037024,0.036666666666666736,2.1412037037037024,0.013333333333333641
P07,trial_31_L_unaffected,left,5,133.5240020751953,63.695335388183594,7.493634218514902,36.15967737068101,47.77643033752329,19.41172854990965,0.012983908984954606,2.098966487922837,6.783666002633467,2.3593630565191503,9.51430563989436,0.0,13.303299166725537,6.054062983048766,0.043333333333333446,2.192982456140353,0.043333333333333446,2.192982456140353,0.0066666666666659324
P07,trial_32_L_unaffected,left,5,133.8721160888672,63.8791389465332,7.47212247719367,37.136236629047445,47.39903297561856,23.11228822394355,0.015644143210513217,9.264313063035644,6.467974328302411,2.2930366164928984,10.820419117469243,0.0,35.09813643483825,4.7097621494325494,0.023333333333333206,1.6501168224299114,0.023333333333333206,1.6501168224299114,0.009999999999999787
P07,trial_33_L_unaffected,left,5,132.46542358398438,63.5813102722168,7.555540421983713,36.73392748547056,46.39158899611322,21.968896366138342,0.021028653471065195,2.79026595285157,0.7756331368543172,3.643619892393893,8.497850464148264,0.0,38.15135347972374,29.229372370918554,0.043333333333333224,5.804268610098902,0.010000000000000009,2.8630921395106697,0.009999999999999787
P07,trial_34_L_unaffected,left,5,133.2997283935547,63.590423583984375,7.347386901321051,37.79694154212968,45.93688436973334,20.52631657469191,0.04835839950030074,0.6333369596754039,5.416497761678407,5.575099358585135,10.35280926637411,1.0,13.65391606772107,0.9294193534835813,0.046666666666666634,5.396825396825399,0.030000000000000027,3.8095238095238066,0.013333333333333641
P07,trial_35_L_unaffected,left,5,133.6911163330078,63.741432189941406,7.237671292573601,36.68783466503259,46.98898192476239,22.793184996813093,0.012270740881306641,1.8247924403986246,3.414363109970502,6.839526462375872,12.640463269054187,1.0,12.419598662785347,6.763501473668839,0.06666666666666665,6.9999999999999964,0.06666666666666665,6.9999999999999964,0.006666666666666821
P07,trial_36_L_unaffected,left,5,131.4535675048828,62.986358642578125,7.150351345651951,38.36665059698301,49.80266004700763,21.55310897107363,0.03164710906631263,5.092068981767966,1.307477156545918,0.6244774944554621,5.000507289845366,1.0,15.885834555658107,10.36716838145037,0.1100000000000001,11.333333333333329,0.12666666666666693,13.0,0.006666666666666821
P07,trial_37_L_unaffected,left,5,132.04660034179688,63.2476806640625,7.55605449754279,36.97407962476542,48.18519702675964,21.173984558149947,0.021088031976723043,3.9649056847602253,0.6865750246243749,1.8381994044612142,6.431102902155114,2.0,15.977381668698882,10.09750127589848,0.03666666666666685,4.155844155844157,0.05333333333333323,5.974025974025977,0.0033333333333338544
P07,trial_38_L_unaffected,left,5,133.17837524414062,63.560516357421875,7.36011862165579,37.706163388228006,45.897671887375175,22.061740517269634,0.01376907798483562,4.42227490283463,2.2286234255872017,2.886892246440354,7.714368381000355,0.0,1.2757574003607886,22.561203076544587,0.16333333333333333,14.569031273836767,0.17999999999999994,16.01830663615561,0.013333333333333641
P07,trial_39_L_unaffected,left,5,133.8528594970703,63.90897750854492,7.632582217758836,35.17804322320228,45.70261729242058,21.884322935692936,,,,,,,,,,,,,
P07,trial_3_L_unaffected,left,5,135.13134765625,64.00018310546875,7.80878450069212,36.62469736905358,45.94834628452768,16.616965252035254,,,,,,,,,,,,,
P07,trial_40_L_unaffected,left,5,135.81988525390625,64.44474792480469,7.5814565296265135,35.7339666506833,46.42590167034835,22.108450159690722,,,,,,,,,,,,,
P07,trial_41_L_unaffected,left,5,133.26901245117188,63.683631896972656,7.466444257952216,39.88099547356102,49.3101907091864,23.960546166433847,0.053665408077495536,2.5029023206741954,1.7991205502801648,5.259918208270193,7.699669854038181,1.0,19.57190034631381,2.5128990235388073,0.043333333333333446,3.9778623313732275,0.043333333333333446,3.9778623313732275,0.009999999999999787
P07,trial_42_L_unaffected,left,5,132.6431121826172,63.5833625793457,7.375798129475486,38.69532623395304,47.180563983002884,22.475245001517706,0.01998932384248442,3.5684955493165944,3.1835261834570474,5.392098203835921,10.515988641058016,1.0,17.874063396443333,9.9522280231688,0.02666666666666684,2.0732883317261326,0.006666666666666599,1.205400192864026,0.013333333333333641
P07,trial_43_R_affected,right,5,130.9044189453125,63.2045783996582,6.640365386763894,33.857268932905505,51.90585232992556,19.518558034086304,0.3490173393605077,11.069877173623155,17.324531311446744,4.992826210601173,3.390360449672613,0.0,9.091548081839846,16.37344714928372,0.30333333333333323,6.966906474820144,0.30333333333333323,6.966906474820144,0.0
P07,trial_44_R_affected,right,5,132.9198455810547,63.8914680480957,6.844983577418896,37.86555482828808,51.893968150819354,21.86684557834445,0.04864665471552021,7.298104509041522,21.12022921263931,0.10558253804059348,2.547627021829527,0.0,2.2571803958790326,116.6066690029648,0.11333333333333329,5.222106670628438,0.14666666666666672,6.796909820234738,0.003333333333332078
P07,trial_45_R_affected,right,5,130.75831604003906,63.45458984375,6.886525005999232,38.160878070049314,50.36244934190565,22.854052398004345,,,,,,,,,,,,,
P07,trial_46_R_affected,right,5,130.19183349609375,63.24407196044922,6.8763610561446615,38.363724925253464,50.68238907747254,25.2992133932439,0.012189236634623679,4.787423960903169,16.656411290606222,1.2282436460677246,2.2943073241931273,5.0,6.038298546695842,38.09985931752976,0.3633333333333332,11.608148553406496,0.046666666666666856,1.1247707012518866,0.013333333333331865
P07,trial_47_R_affected,right,5,129.23379516601562,63.148597717285156,6.950560939066357,38.149131932957125,50.78144904167856,23.4315049070076,,,,,,,,,,,,,
P07,trial_48_R_affected,right,5,129.3714599609375,62.83556365966797,7.1313526013471815,37.4680214249658,53.084765498492324,22.11896350880176,0.009075240058471601,9.117773949661398,24.283194303455932,0.240904653740742,6.9698062270147005,1.0,15.80548488191426,33.36112588221869,0.0,0.2795937667036732,0.0,0.2795937667036732,0.013333333333332753
P07,trial_49_R_affected,right,5,130.3246307373047,63.38597869873047,6.782834103921033,39.56014780249154,51.12580195857852,23.94362371254774,0.09526571949269369,8.986011280966622,16.431452258645365,3.384690540737992,6.351199219172386,1.0,0.004922140483216708,14.227146400976835,0.0033333333333334103,0.9690125135069181,0.0033333333333334103,0.9690125135069181,0.0066666666666659324
P07,trial_4_L_unaffected,left,5,134.66680908203125,63.96643829345703,7.598331714902036,36.74661133856206,47.32591734780689,19.016881121022426,,,,,,,,,,,,,
P07,trial_50_R_affected,right,5,129.91177368164062,63.08490753173828,6.896516687260515,41.42056611127733,49.759737430162836,26.013360537164075,,,,,,,,,,,,,
P07,trial_51_R_affected,right,5,131.39669799804688,63.85663604736328,7.026153675511543,41.526604094176015,51.45978525893165,25.482709327610536,,,,,,,,,,,,,
P07,trial_52_R_affected,right,5,129.6663055419922,63.026031494140625,6.8433206275733145,42.04474985381606,49.983417257063095,24.82130155462498,0.04075374277446486,9.101288006815636,12.61726798992018,4.0393881875403395,12.953830087558174,0.0,0.14420926574473114,3.457887561858456,0.01333333333333342,0.17543859649122595,0.01333333333333342,0.17543859649122595,0.0033333333333338544
P07,trial_53_R_affected,right,5,130.74835205078125,63.343994140625,6.882527570121964,40.18270004276606,50.953882310374915,23.94968915968226,0.037108160887620256,7.860972990470302,11.065070437218694,11.51701515234091,8.623851121929192,2.0,7.972570129978607,26.593161571139547,0.03666666666666685,1.4529789719626205,0.07000000000000006,3.0154789719626205,0.009999999999999787
P07,trial_54_R_affected,right,5,130.92144775390625,63.70020294189453,6.805633413805946,41.64271768888603,51.21265951004942,24.606215789504457,0.04655063935879844,7.155443743103817,16.6986828416792,0.6882012877398864,8.538205250000885,2.0,21.77292288594572,43.45575165125098,0.026666666666666616,0.7030288827699316,0.026666666666666616,0.7030288827699316,0.009999999999999787
P07,trial_55_R_affected,right,5,131.1069793701172,63.446678161621094,7.229423015006735,39.60542975219735,51.595171538992005,23.90937132793506,0.03226404153375917,9.500523103935606,18.880842711880796,1.9888172705409488,10.908426343013033,1.0,16.747680606720373,110.48012252849145,0.09000000000000008,6.076111288775181,0.14000000000000012,8.906299968020463,0.003333333333332078
P07,trial_56_R_affected,right,5,131.23165893554688,63.52465057373047,7.185209745815037,40.99489712629206,51.521941128055026,27.300482245631137,0.19768169495499965,7.968462477227973,20.326868111989278,2.903102827430544,8.667594786408017,2.0,19.688215321759795,0.3155609523059866,0.06666666666666665,1.2393390191897655,0.08333333333333304,1.9856076759061825,0.013333333333333641
P07,trial_57_R_affected,right,5,131.2536163330078,63.476287841796875,7.054211433354902,39.65665756901507,52.34512795770981,25.295786317992878,0.009784752818046027,9.379652457625497,19.46686237718994,0.13365442079658862,11.420812611684099,1.0,1.177276302044703,98.21156607395426,0.0,1.555271746842628,0.0,1.555271746842628,0.0
P07,trial_58_R_affected,right,5,131.69235229492188,63.736045837402344,7.113573395194286,41.5678674631871,51.82974679725633,23.74318370726517,,,,,,,,,,,,,
P07,trial_59_R_affected,right,5,131.17156982421875,63.6012077331543,7.2127652647647285,42.228902031364086,51.33258942869246,25.125091330955986,0.05481397815100597,10.40049003486294,17.070489481906982,1.7460888919762425,15.134664418573223,2.0,10.535478331298272,42.68591128643044,0.006666666666666599,0.5067064083457531,0.023333333333333428,0.40238450074515697,0.0033333333333338544
P07,trial_5_L_unaffected,left,5,134.36984252929688,63.78139114379883,7.68646275500646,37.26763093883456,47.10400214661475,16.212244045723484,,,,,,,,,,,,,
P07,trial_60_R_affected,right,5,131.65472412109375,63.7364501953125,7.037057189763322,42.62012543893766,51.36262944019301,36.05064319727903,0.02818742169597166,3.8738525244096422,20.40474219061661,4.496345724012393,1.7905349668123591,0.0,11.380339314140429,20.85193527271082,0.026666666666666616,1.8818886268469956,0.023333333333333428,0.016845550368197237,0.0
P07,trial_61_R_affected,right,5,130.39892578125,63.1876106262207,7.202789025969885,40.32187497101636,50.94680464991532,26.53572280032397,0.01581202695546524,11.542339925119023,21.90551627488812,1.9707500898556702,10.687077683197344,3.0,5.217890091607416,8.085486163280905,0.016666666666666607,0.32009037845979904,0.016666666666666607,0.32009037845979904,0.006666666666667709
P07,trial_62_R_affected,right,5,131.5589599609375,63.5723762512207,7.128522119455507,41.34492824530126,49.58856766644781,25.985156076879687,0.04960953684302383,7.562396470785558,15.042271679690579,1.645432279460536,14.741729942881392,1.0,14.881839955691301,20.398921305543013,0.026666666666666616,1.4995857497928728,0.043333333333333446,2.0878210439105196,0.006666666666667709
P07,trial_63_R_affected,right,5,128.95603942871094,62.558189392089844,7.037673164990785,36.60029383476291,51.05600562843383,23.19093561936723,0.24488615596900176,8.060680229290597,26.160770640722536,1.176823987727687,6.9653609196779485,1.0,13.845338097616917,15.050312510969945,0.023333333333333206,1.1525163273146362,0.006666666666666599,0.4225893200153692,0.0033333333333329662
P07,trial_64_R_affected,right,5,129.75352478027344,63.25072479248047,7.124694928600625,42.20954982272072,49.34762425800363,27.268636410168565,0.15068824648085632,6.7885162143846856,25.329480766968377,0.25324713994933035,9.046509003788998,6.0,1.327696989421547,31.125145001706983,0.039999999999999813,1.0988042424420499,0.006666666666666599,0.10870523254105713,0.0
P07,trial_65_R_affected,right,5,130.84249877929688,63.67842483520508,7.06560882697376,43.69978171959088,50.730536326400546,26.576615817252513,0.0042308115242289945,9.514607232385316,17.415013345589216,5.3445470604799965,11.53322577277946,1.0,3.8274589081493104,3.5990642126405987,0.040000000000000036,2.80300657688694,0.040000000000000036,2.80300657688694,0.0066666666666659324
P07,trial_66_R_affected,right,5,130.17840576171875,63.21179962158203,6.89671374706456,41.45058454315672,49.94243462035856,24.894970535937276,0.22269497638377822,9.329668497766022,20.051417706568238,9.68312460467348,11.95431515055543,1.0,7.7242440295010795,13.845758034041012,0.030000000000000027,0.5507541094729724,0.046666666666666634,1.1459922047110656,0.0
P07,trial_67_R_affected,right,5,131.20578002929688,63.57063674926758,6.887657886610509,41.65535102487176,50.092036258893195,24.28920691842518,0.04770549387137879,9.811348318024855,12.75497002584649,15.203471822619505,6.63766401421006,1.0,14.756655777287193,2.744248958890921,0.07333333333333347,4.360318580502064,0.09000000000000008,5.277749773162615,0.0066666666666659324
P07,trial_68_R_affected,right,5,130.55581665039062,63.4569091796875,6.950566126454648,41.41102886365227,49.683794966833304,27.462618492884925,0.011837966199960248,7.811276812255542,3.616441181599143,2.684815684039478,11.8994909550118,1.0,10.639201574124112,11.651110880903957,0.08333333333333326,3.4450651769087557,0.09999999999999987,4.3709911028346795,0.010000000000001563
P07,trial_69_R_affected,right,5,130.08587646484375,63.25742721557617,6.859560943761302,41.88911522705956,50.44792691180199,29.560873870405548,0.009961326572765605,9.836670954832641,3.8935353970827578,0.34614741382215186,13.47120494739228,3.0,21.3777805141298,47.891408408876885,0.010000000000000009,0.8771929824561386,0.023333333333333206,0.8771929824561422,0.013333333333333641
P07,trial_6_L_unaffected,left,5,133.3333740234375,63.59337615966797,7.699010307632771,38.35555447147544,47.391488793428586,19.114980478177806,,,,,,,,,,,,,
P07,trial_70_R_affected,right,5,129.007080078125,63.01604080200195,7.150547700802546,41.772577595328436,48.847886471429206,30.209285002508537,,,,,,,,,,,,,
P07,trial_71_R_affected,right,5,130.5506134033203,63.2503776550293,6.802142402824991,40.46759132384783,49.156962153325686,26.09255970701642,,,,,,,,,,,,,
P07,trial_72_R_affected,right,5,131.0379180908203,63.49495315551758,6.791662499750267,41.13000940172327,50.06544810249345,25.61207472862787,0.04830281057724406,11.881076277363206,18.86407941403457,0.24652262338714337,11.587754378097443,0.0,6.3498468538941175,35.50768739489115,0.006666666666666821,0.1627638349259648,0.006666666666666821,0.1627638349259648,0.28000000000000114
P07,trial_73_R_affected,right,5,132.21194458007812,63.7664680480957,7.324774113666073,38.8526849181848,53.73445021886374,26.378235184508924,0.022296755914061772,7.962358257054035,14.039766810702545,1.3253170559952423,4.312984998974585,4.0,14.436110363929089,46.944966328184364,0.1299999999999999,11.484213250517595,0.1633333333333331,13.56754658385093,0.0033333333333338544
P07,trial_74_R_affected,right,5,131.34254455566406,63.86084747314453,7.318842062574307,41.720224311149884,51.50973381753176,25.323777150447604,0.0258856264067584,7.780888887257859,8.562761983324236,2.7482162040636666,2.5557384742052847,1.0,6.278752877573332,70.34672293496868,0.00666666666666671,0.29791459781528573,0.010000000000000009,0.7547169811320806,0.006666666666667709
P07,trial_75_R_affected,right,5,131.69412231445312,63.769195556640625,7.696735630272908,39.27342967264862,51.083326308474476,25.57263857885731,0.03655268423846536,8.831445395607929,11.610463720774717,0.7900896817099863,7.775945215494346,2.0,14.44367539175218,8.333820018615427,0.03333333333333344,0.5586325439266577,0.016666666666666607,0.3342245989304846,0.010000000000001563
