part,trial,side,mmc_flex,mmc_hipC_shLive,mmc_hipC_actLive,omc_vert,omc_trunk,omc_trunkc,lean
P07,10,L,60.10733690177838,55.94073087379744,63.15408581452145,59.01299609772971,51.13129333338846,52.38559922785713,6.270207085192332
P07,13,L,53.162599652201564,52.280619528155746,59.80931109766924,63.98548191130563,54.87596823802557,56.27596527838164,6.742230920382652
P07,14,L,62.03845333384305,56.65536538922712,63.78994360432284,60.90461589508642,52.03580402773626,53.851867723899915,6.826689997180465
P07,15,L,50.52674286269968,50.36553058872115,58.234005426333546,60.26931308830876,52.28440734401452,53.63789008823395,6.435320816378638
P07,17,L,54.55014876208975,55.052087171550276,62.96073755579867,66.71654966310788,57.70822883901034,59.28386930523313,7.061463378791845
P07,18,L,46.498352373077076,46.824618902893626,53.62936534522164,57.392473845161966,48.88005473026283,49.66142668325751,7.447142711365188
P07,19,L,58.99524246031492,56.722508559129665,63.709394136518185,59.78882755660516,50.96813753865371,51.66669080813604,7.67881365013531
P07,21,L,42.911898600667826,44.026774350573476,52.07841228083366,53.812582049535976,46.14430352981293,46.40355691904909,7.389067094234003
P07,22,L,39.16549218845489,40.31916667307867,48.63235541319817,51.19894663434346,43.67155300348369,43.75225179742186,7.321141522682623
P07,23,L,51.359077158252454,52.222331204119364,58.90134662120731,60.10495578338179,52.12802214969612,52.49492037091799,7.4318111867475105
P07,24,L,54.03055125319159,53.99331994420115,60.80115795847461,64.83558859795706,56.174242954799155,57.41518246595715,7.533180318200767
P07,26,L,50.23098733609093,51.088069843435775,58.514294871363745,59.72145487359687,52.6437373038565,52.90703433219585,6.442605108540486
P07,28,L,45.26292328387639,46.343726306164264,54.11353643976441,56.38419032025822,49.022963282767975,49.37781998739643,6.848074018449177
P07,30,L,49.45649273642405,49.1426966780811,57.33357252884617,59.209849398957985,51.74545016752,52.31766057349858,6.958275000956864
P07,31,L,43.92586712964112,44.855694216386865,51.50784533167713,54.765091581207194,47.19108711365775,47.511772025731,6.9036990905838085
P07,32,L,54.72538763911996,55.299722775766924,61.32827465445538,58.68545192047801,51.27959385895088,52.00433642168332,6.403648276688494
P07,33,L,55.29540114391208,55.730792109630016,64.34538804844905,65.7446142781476,57.51807664048967,58.69574251470581,7.0959390217329466
P07,34,L,57.89506266385284,57.81989758020665,66.13450608495074,67.18152290416148,58.80059996846494,59.99724475304169,6.801785764701593
P07,35,L,52.4297585862597,52.86488724694747,60.99576763953268,63.35142553733983,55.505110233603745,56.72400301099485,6.481539559912842
P07,36,L,59.88680430131538,57.86781757636952,65.34285742901397,60.43175579287081,53.327567561251286,55.6874153671573,5.6771612934061775
P07,37,L,57.03381395070896,56.769078064529204,64.19066326528917,59.333327102534504,52.44201350267591,53.70471354904984,5.677428800598887
P07,38,L,58.0082040861581,57.52926593553785,66.13014436073418,61.51766676136753,53.82883255651216,55.032545878943445,6.408158039692813
P07,41,L,62.13545315147065,62.16032245968046,71.69472344181682,71.6426342815543,62.93451695958062,64.41129031904894,7.137928512532244
P07,42,L,51.99301175632982,52.53251935799544,61.876270460329785,64.9896157958211,56.58738068533625,57.550920658137464,7.361598861306084
P07,43,R,54.48618711278352,47.67308303207117,60.196245460828735,57.08896189583264,52.48391840147352,56.29941323269455,4.392294795433255
P07,44,R,55.13006094847504,53.12190917300257,68.09055716082261,66.64173825582101,58.07061241190438,61.86179619953742,5.524604054783927
P07,46,R,63.35005334264068,60.60307353081139,75.52099493339892,73.26521806754954,62.81131425677445,67.29697071847404,6.5211196965686025
P07,48,R,47.45167107194186,46.03663787031668,60.69704991587749,62.728542825365274,53.0535466321372,56.776325849423834,7.243334926924645
P07,49,R,63.404922734200916,60.963202912165144,76.50080942198304,75.92091402052328,64.59700640584016,70.01376866625985,6.624419665945388
P07,52,R,73.49034192681965,68.54569461169184,84.51918565753462,82.1251702765867,69.49160568196238,76.22747184807663,7.723401898448093
P07,53,R,62.52726968514614,58.85340629501742,74.23133957879665,74.21143496444392,62.04519675053715,68.58503504492383,7.253389268532501
P07,54,R,66.5919895031952,62.58276426313986,77.28513605057813,76.82695910003554,64.7102529121242,70.6695064258171,7.945466210982579
P07,55,R,62.83292706986034,60.02431367266728,75.2096813717684,74.28194099101897,63.61956152566785,68.78166463135165,6.648035407819086
P07,56,R,60.679279765769564,56.9461615915569,72.03789756634666,73.79699133673691,62.09976603229522,68.40844532203405,6.367292449768199
P07,57,R,60.56896332686537,57.17364114601093,70.33150035645394,69.66692328895994,59.56910233801372,66.1916955704146,4.820579814215113
