trial,side,ij_forced,automq_ij,flex_max,automq_flex
trial_10_L_unaffected,left,0.9729751960984737,0.9604461698693778,24.995338524737328,43.70420614635003
trial_11_L_unaffected,left,0.9829236421675559,0.8154218763662828,25.591020361905912,42.2803935287999
trial_12_L_unaffected,left,0.9778592547800119,0.7925934479136876,28.159094131843922,47.67656326217486
trial_13_L_unaffected,left,0.9333543122084149,0.9614019806867568,19.882458627606812,35.17642615984854
trial_15_L_unaffected,left,0.8771070078379987,0.995418405408741,16.780954206351794,31.766193246366893
trial_16_L_unaffected,left,0.7540547657428457,0.9660715308028753,17.587043086933313,30.78747934658549
trial_17_L_unaffected,left,0.7469179111281793,0.7785156078436636,17.646627962492598,32.0250801698398
trial_18_L_unaffected,left,0.9118519957697127,0.9386002717941144,17.68095738633381,34.68345818313117
trial_20_L_unaffected,left,0.6418853863233863,0.466696145728893,20.369291877739812,37.34820514673496
trial_21_L_unaffected,left,0.9384440612252202,0.9453909324079758,20.849636901632298,43.12231266798476
trial_22_L_unaffected,left,0.9823103488312467,0.9953437644262441,21.08390066820491,39.9468195856396
trial_23_L_unaffected,left,0.9615878269846768,0.9221409501975847,24.432931947233186,42.34122521602493
trial_24_L_unaffected,left,0.9413121699162776,0.9665039188593495,23.896878431544945,47.99847027113352
trial_25_L_unaffected,left,0.9773236565684152,0.9891653577542697,26.82036852770037,47.60251211345224
trial_28_L_unaffected,left,0.9944001444365211,0.9992116864826157,27.187049872090952,47.8884624651534
trial_29_L_unaffected,left,0.9896557437705977,0.9890167866144518,33.40073669166355,37.604061726696
trial_31_L_unaffected,left,0.9971474187600157,0.9792716324309461,34.224284462498886,37.95372513620924
trial_35_L_unaffected,left,0.970654265151643,0.9532180752210292,38.42929896921911,43.375389115850574
trial_36_L_unaffected,left,0.9810299820002499,0.9456533609570668,39.35335616532996,42.68879349005013
trial_37_L_unaffected,left,0.755663553597696,0.807956809925209,38.82742015040003,47.70846758687862
trial_38_L_unaffected,left,0.9786005402342595,0.9708748416766432,39.152354085185195,47.99620956003005
trial_39_L_unaffected,left,0.8927214759602677,0.9589517078575581,36.76305343799713,49.647275439253754
trial_40_L_unaffected,left,0.961079824570833,0.9704847568599791,37.59837851011909,49.45174119393937
trial_42_L_unaffected,left,0.9625323116698892,0.992986642730087,39.74315640057216,52.45536634406307
trial_43_L_unaffected,left,0.9425876614934601,0.9847725277346712,43.282598852607904,48.94939064006443
trial_44_L_unaffected,left,0.9744126187984626,0.987112599215369,43.48622874416265,52.067342741673784
trial_45_L_unaffected,left,0.9476675622794447,0.9728972597465905,40.05845885826902,53.64836790469458
trial_47_R_affected,right,-0.19767839458305808,0.6895223820735659,27.97593060539767,38.435722702970885
trial_48_R_affected,right,-0.3937332891670077,0.26291568915725266,26.299478030646153,41.50805298762073
trial_49_R_affected,right,-0.3496806470211209,0.310093152123115,26.609400019565015,43.48164245851471
trial_52_R_affected,right,0.18815959739212645,0.25481144217680224,29.169178481049723,45.78493670359748
trial_53_R_affected,right,0.98129472622367,0.7410298072433696,29.77408735145775,40.391253093778346
trial_54_R_affected,right,0.7321271777704935,0.7792274200979569,27.82274327074295,39.67854743403033
trial_57_R_affected,right,0.15895640141471531,0.46178213105875726,28.533951521263923,38.56518447601974
trial_58_R_affected,right,0.6779538792967488,0.8595875101807045,29.999870377547875,46.96619057378601
trial_59_R_affected,right,0.7850662074364604,0.95178392068496,30.143944011384747,45.228643473173484
trial_60_R_affected,right,-0.07093155132877903,0.558201453413245,29.99800342911164,41.628752526034376
trial_61_R_affected,right,0.7025972231163939,0.8971562839584897,30.106226037364788,40.337345790722395
trial_62_R_affected,right,-0.36063284297646603,0.8817827837120997,30.662239476762863,38.166575156608225
trial_63_R_affected,right,0.08155363661086833,0.9633604290263539,30.316643102107157,40.163706425896294
trial_64_R_affected,right,0.7984129949906869,0.9695918563141518,30.585110151775204,47.18548921252725
trial_67_R_affected,right,-0.6498995040282104,0.2808070355667968,27.19066024499235,40.71755490107849
trial_6_L_unaffected,left,0.9760787761516989,0.8406701595728294,25.3682108216317,40.469654232773486
trial_70_R_affected,right,0.4681303324934931,0.6063530160614431,30.08150026175012,48.17790309059153
trial_74_R_affected,right,0.14043975806924724,0.4985596652488197,24.28755552497048,40.822577925409796
trial_77_R_affected,right,0.7966991437992381,0.09389076429203715,30.76413882067128,41.71661838159717
trial_78_R_affected,right,0.2737990149797306,-0.7178125661058845,25.94221252458193,53.08074995960539
trial_7_L_unaffected,left,0.9893129075344984,0.5853544431602712,22.566603033307754,38.560541923653766
trial_80_R_affected,right,0.3969399924123835,-0.2877551493393164,28.052855961232993,35.61480604179127
trial_83_R_affected,right,0.6868343718841526,0.4047140927368692,27.467079397175656,36.15882193713272
trial_84_R_affected,right,0.834485472482176,0.10269857694921126,30.387602069410196,35.630280832290616
trial_85_R_affected,right,0.7671980908838294,0.5741495027403997,28.332290924476684,32.06363937194924
trial_87_R_affected,right,0.5251791370257999,0.5455413772365391,28.07742277776525,30.471688491988136
trial_88_R_affected,right,0.2755543723907284,0.43665528663651576,29.75351621168028,49.14993431930453
trial_8_L_unaffected,left,0.9639839883925698,0.763372973840736,22.86595207425244,41.18229063640961
trial_90_R_affected,right,0.6333932361612106,0.017088738716248785,36.485758171286015,53.456911159380596
trial_93_R_affected,right,0.6268100451184925,-0.32484399113426843,26.120586609194632,29.647913004161996
