part,cond,amq_std,our_std,lean_std,amq_vs_lean,our_vs_lean
P07,unaffected,6.135090717986086,7.227340324827228,1.3717251058567044,-0.9720169715168121,0.9942341001005346
P07,unaffected,6.4325514255642275,6.654316458597506,1.012029786693255,-0.9527631445552625,0.981112510954641
P07,unaffected,6.609352719014551,7.097078820338547,1.0296823149684833,-0.9924340312283514,0.9751500284723336
P07,unaffected,6.6622303484620415,6.942779381298899,1.0990318459380075,-0.9952420203370046,0.9909800031212923
P07,unaffected,6.667489364654948,6.718904027271507,1.2720270703384529,-0.9319381904823275,0.9711965058529488
P07,unaffected,5.667971721020784,5.980853860860275,0.8290521514920645,-0.987300573552817,0.9869460940672813
P07,unaffected,5.95014193868679,5.975876441595126,1.0063712061052612,-0.9554872886958594,0.9842102472882468
P07,unaffected,6.086777604267436,6.615312524385925,1.0404200440024944,-0.9173364888497147,0.9643741202717567
P07,unaffected,6.404367888119585,6.5076554393424955,1.2687518357198355,-0.9146468688635612,0.9645275549766039
P07,unaffected,6.408571823000999,6.459938274069839,1.1300721985201032,-0.955571204225566,0.9877116595235691
P07,unaffected,6.261135133489729,6.08085522860247,1.0279072886713871,-0.9627899513405964,0.9879610956336066
P07,unaffected,6.557577405749241,6.565586889039341,2.2398265820340617,-0.8852059551603294,0.9797234405012258
P07,unaffected,6.762660964805286,6.546110663418034,1.0869721083658888,-0.9489273662023512,0.9777240083151985
P07,unaffected,6.7391442697677695,6.584026873377001,1.114951567282031,-0.9663688761581141,0.9875593436140361
P07,unaffected,6.824372688166851,6.558882736525184,1.1093177611114473,-0.9576545680723902,0.981320076964605
P07,unaffected,6.501472126381514,6.356261124757964,1.1483845891044884,-0.970458372396306,0.9815199267360115
P07,unaffected,6.305287713989569,6.438597461684707,1.1129752931024617,-0.9709185172816731,0.9885943795017405
P07,unaffected,6.562398732225128,6.45257930766398,1.0520147428654705,-0.9602404168306429,0.983832279440436
P07,unaffected,6.605993663919727,6.328850627171696,1.0854360689337763,-0.9559448559235774,0.9820874391211514
P07,unaffected,5.9601145626093945,6.1286201964691225,1.4565310608467674,-0.9118968020233038,0.9642447722945532
P07,unaffected,5.865123928636066,5.922731589302848,1.1171966761485892,-0.9682109697397735,0.9903032638818974
P07,unaffected,5.913916597375454,5.777994154652603,1.303705420850645,-0.9433376715484679,0.9826903593455727
P07,unaffected,6.999025656430561,6.344068040161907,0.8418294779176164,-0.9404890576096424,0.9630475150122328
P07,unaffected,6.101129833656166,5.904616258041127,1.2537670433228973,-0.9650083182768251,0.9877859023416338
P07,unaffected,5.6776245888757,5.756404305017594,1.203939779045534,-0.96099980470174,0.9885529866595425
P07,unaffected,5.837444879240089,5.364549305418733,0.6397532394763435,-0.9184618419364867,0.9404469749461948
P07,unaffected,5.749559481719146,5.43471421670982,0.35614491404181514,-0.9184573655351324,0.9419654830206105
P07,unaffected,5.187790908704828,5.609410703163425,1.3776239843751321,-0.9926175855592602,0.9939445049369722
P07,unaffected,5.841574755065466,5.412321552648639,0.791835393251733,-0.9616147287726924,0.9845461278483468
P07,unaffected,5.90700388144363,5.789652262241298,1.1477200524329005,-0.9547904479305076,0.9809181497793369
P07,affected,1.8717900228404012,3.2859138712865845,1.9488140449601243,-0.33654609912152605,0.8556854888178949
P07,affected,2.45941375537646,3.6583174720204945,1.063503653984385,-0.5157841398292069,-0.10765988313715126
P07,affected,1.741410686005797,2.4964218626060988,1.1725735290919326,-0.004546760796764324,0.18780860887810705
P07,affected,2.0188903433430623,3.5364018349719575,2.1048839952911464,-0.49050218754426694,-0.7141811203846241
P07,affected,1.9550938752880627,3.5221126434274934,1.4311027518735397,-0.4626235569641074,-0.5807322338800129
P07,affected,1.7131873873871357,3.3215519593325493,0.6804171503801644,-0.3163987889286558,-0.3798291406578681
