mmc,omc_native,omc_ourmethod
0.9900963251686168,0.9455426267500402,0.9706642393662848
0.9931023478047696,0.9590247989942707,0.995023776732796
0.9838079776508264,0.950744476453521,0.9850202781715758
0.9970197921839287,0.9465195418739839,0.9743417120894138
0.9974850653466407,0.9210699310630087,0.9484767627911446
0.9981819133073729,0.9495712010855777,0.9876434109482214
0.9809314278477453,0.944064193568339,0.9809210766304506
0.9988554355346635,0.9408665793176981,0.9759991937841419
0.9935764955870044,0.9503667818182941,0.9913934588628225
0.9915630446098848,0.9437052223809477,0.9841495400742991
0.9850092599949238,0.9533644284135001,0.9892166313857594
0.9909321574097504,0.9456530556447449,0.988981380998748
0.993795528981988,0.9502936304768768,0.9898925568635005
0.9925693454257807,0.9623450508512968,0.9793420198271278
0.9899556572094373,0.953731778506138,0.9838558056719778
0.9830222217561085,0.9501277548016901,0.9701355535780221
0.9947572047697867,0.93783331356745,0.9786833871311417
0.9977973910849508,0.9399330244841477,0.9886191536526626
0.9895982827964853,0.967558697032934,0.995946558195559
0.9586342792368286,0.9305670263902213,0.9463236071750613
0.9944374184946188,0.951381837617421,0.9832583985043445
0.9979125437431876,0.9659340030646222,0.995710692090149
0.9916286976903075,0.9145100439122296,0.9768357659101419
0.9895888555421256,0.9415684679234082,0.9801874574052594
0.8659598182777662,0.8198482727182933,0.1311779162733917
0.6637470965624002,0.9024559176477597,0.6749892248853345
0.5459199100364466,0.7849433876314804,0.17079692154710494
-0.11820209875273933,0.6632297305280505,-0.2069416796893095
0.2808766276360473,0.7157974766792343,0.076317632767092
-0.422261927261975,0.8589037464614909,0.557875714684907
-0.6041260005932628,0.8832510523470244,-0.887053789254851
0.07207702557753326,0.8817921102203181,-0.20300161431160033
0.4613767782613994,0.9182683166664892,-0.04783169761868546
-0.8256740491081475,0.8512213030303453,-0.9295021665060591
0.9394444747706854,0.9389380589278248,-0.3458868908841579
0.7847783178851385,0.8273679523344816,-0.11426369109516125
0.6018932020610832,0.9500755603611928,0.5226407621040627
-0.7616890748222082,0.9171059406157797,-0.6304738181033243
0.5112831391323212,0.9363188446843353,0.6826950904165265
-0.3241427359232122,0.7903826217099955,-0.9381223542619046
0.23013727439070675,0.9589053869194885,-0.177650145608997
0.3365892751438349,0.7685950346384745,-0.20807582317000772
0.48909853906685774,0.8555891334816133,-0.28423257678833547
0.2715513070441804,0.8426018526475679,-0.09694308472611819
0.5890360832142344,0.8306450764042331,-0.5301317349156189
0.700809300974776,0.9321174567348111,-0.5858566771017211
0.8540123887362443,0.8951957712410968,0.04964116460858223
-0.32416579995589995,0.9693925616351028,0.4443458355485001
-0.36566768397354094,0.937037824096002,-0.5786274343641843
-0.05082689171749458,0.815845296881066,-0.8767249477003795
-0.3969548837576935,0.9067064689832327,0.13377198840087265
-0.9035072090681766,0.836452181880327,-0.8737306981622439
0.9753823029420847,0.9383711437259814,0.974534822366573
0.9674523589937295,0.9572501274945627,0.620841861348924
0.6847429018082232,0.9353496681264855,0.949468774904373
-0.8651379924615391,0.953099979557012,0.8617591231364123
0.696200577677216,0.9472692022671538,0.6828142316274197
0.9864425461938866,0.9632483205930035,0.9967394944287079
0.9788182766570305,0.950112790820176,0.9876648226240975
0.9238047243038771,0.9652981783758708,0.9541848271829431
0.8638235645174219,0.9464070541163052,0.8399773731440755
0.9166453818596789,0.9439658256353098,0.8285139388897721
0.8255682498706445,0.9409101516769739,0.7964222175283967
0.8817867039925202,0.9686340486888901,0.9196627645736041
0.049402513605765225,0.9495157889797498,0.8597018112634913
0.9475391096496426,0.9529833274374657,0.9357544853665248
0.8791665822257708,0.9527540078361034,0.8652429091985788
0.9055869140303365,0.955017552981393,0.8315769033867736
0.9161526342962829,0.9674449911542182,0.8495078341989439
0.8562736412718853,0.9486664924206728,0.776640729454429
0.9157776048657527,0.9541706548722116,0.8435070938150979
0.9194557138260568,0.9582562629043168,0.9204619197860872
0.2342856119120065,0.9531156747380773,0.7498969378255437
0.9469395853364466,0.9420599282269575,0.8565624750335971
0.9128982830994401,0.9492418880130953,0.7940166550998439
0.9242325535369945,0.9325649135745517,0.8598915102236484
0.9368346552634943,0.9479419014778863,0.869077196080612
0.881158591917654,0.9739515496033326,0.8324457958772753
0.9355861585940174,0.9837003225251184,0.9049110704297807
0.8900304294782981,0.9652934080347391,0.8983274613492639
0.8920449951230414,0.962926722404028,0.867962808892849
0.9658286669003434,0.952989361962635,0.8346975359076388
0.9422709126786172,0.9701672870653714,0.8883949521121621
-0.9534709539678473,0.9582146921430789,0.8276372348355321
0.9408948853074635,0.9640919365862762,0.8833755201165909
0.8970763268313215,0.9578315589011274,0.7837402419605638
-0.12194860261343494,0.9628342033248696,0.8154961261636426
0.9444112295102747,0.9735492639106531,0.9108204712933791
0.2960243931261671,0.8082352158690012,0.005710828441030599
0.7970578415652838,0.9450184669192557,0.7854628309981979
0.8774933693695279,0.9670128640137181,0.8988351936588613
0.6020160424943927,0.9459213988724188,0.8249629233815412
0.795223958142284,0.9210126470830787,0.8158981242337128
0.40236042429782365,0.9415708990542007,0.8408252872647588
0.800083239848542,0.9401138640112647,0.7967558618975074
0.7354460137335325,0.9406769960020067,0.7381000738435878
0.8156874109723847,0.9316366268067956,0.8158158618431115
0.7104040247602146,0.936556187142419,0.8190432236326756
0.6552152991123977,0.9671855473925293,0.8655327218576697
0.8366026103819272,0.9522840876847593,0.8074139373947316
0.21776150860811216,0.9208518316734469,0.6926580767269962
0.8059414063687145,0.9439125935775503,0.7855709249308424
0.49488428359948117,0.9435171000757713,0.777829376993257
0.8025665548184967,0.9589067911255191,0.9005922228290867
0.16268196684005026,0.9550499214466533,0.7870954901092305
