part,trial,mmc_min_drink,omc_min_drink,gap,ncam_drink,ncam_all,seq_mmc_drink onset,seq_omc_drink onset,seq_mmc_drink offset,seq_omc_drink offset,err,bad
P10,trial_6_R_unaffected,57.7106784000633,130.7967837531253,-73.08610535306201,0.9534883720930233,0.5473887814313346,,242,,346,,False
P10,trial_70_L_affected,52.41996642599577,124.09159439225583,-71.67162796626006,1.0,1.0,213.0,213,263.0,263,0.0,False
P10,trial_71_L_affected,52.11219540738945,123.47480618426582,-71.36261077687637,1.0,1.0,197.0,191,241.0,248,7.0,False
P10,trial_72_L_affected,64.90719790347018,121.77348858339415,-56.86629067992398,1.0,1.0,207.0,211,254.0,260,6.0,False
P10,trial_73_L_affected,70.17374816310738,124.14843915242486,-53.97469098931748,1.0,1.0,206.0,208,257.0,267,10.0,False
P10,trial_74_L_affected,69.4321013856589,124.55396781989988,-55.121866434240985,1.0,0.9533333333333334,194.0,197,244.0,255,11.0,False
P10,trial_75_L_affected,54.35145338730221,125.11505511914709,-70.76360173184489,1.0,0.9934065934065934,188.0,185,236.0,247,11.0,False
P10,trial_77_L_affected,65.9411853525724,121.51724894740379,-55.57606359483138,1.0,0.9955654101995566,204.0,209,254.0,269,15.0,False
P10,trial_78_L_affected,55.697290242871986,120.86334657799259,-65.1660563351206,1.0,1.0,210.0,207,261.0,271,10.0,False
P10,trial_79_L_affected,64.20273814761117,117.88837100660076,-53.68563285898959,1.0,0.9954853273137697,190.0,190,243.0,254,11.0,False
P10,trial_7_R_unaffected,55.93137510530782,128.32861279988495,-72.39723769457713,1.0,0.94140625,225.0,218,318.0,319,7.0,False
P10,trial_80_L_affected,67.79231968526726,118.67098537775564,-50.87866569248838,1.0,1.0,198.0,203,252.0,273,21.0,False
P10,trial_81_L_affected,54.75045212792962,122.87814929161617,-68.12769716368655,1.0,1.0,212.0,211,260.0,271,11.0,False
P10,trial_82_L_affected,56.08947172317513,120.85313018378393,-64.76365846060881,1.0,1.0,210.0,211,265.0,276,11.0,False
P10,trial_83_L_affected,52.23411750993913,118.6788395382285,-66.44472202828936,1.0,1.0,214.0,214,258.0,269,11.0,False
P10,trial_8_R_unaffected,465.60889791140886,126.1430559653018,339.46584194610705,0.0,0.13438735177865613,323.0,208,505.0,316,189.0,True
P10,trial_9_R_unaffected,51.08614133166876,124.2739062478923,-73.18776491622353,1.0,1.0,219.0,221,311.0,307,4.0,False
P12,trial_10_L_unaffected,642.4636362322792,111.8761958020841,530.5874404301951,0.0,0.5014492753623189,105.0,160,110.0,217,107.0,True
P12,trial_11_L_unaffected,538.6946385628344,105.00491092479723,433.68972763803714,0.0,0.43661971830985913,119.0,150,158.0,207,49.0,True
P12,trial_12_L_unaffected,628.0942143279535,104.53205382454422,523.5621605034094,0.0,0.4263157894736842,115.0,166,297.0,254,51.0,True
P12,trial_13_L_unaffected,638.8074049084732,97.71836362223094,541.0890412862423,0.0,0.329700272479564,105.0,157,191.0,212,52.0,True
P12,trial_14_L_unaffected,656.8952052902691,102.43558943812445,554.4596158521447,0.0,0.43526170798898073,101.0,155,106.0,221,115.0,True
P12,trial_15_L_unaffected,658.1886997237028,101.56498187649039,556.6237178472124,0.0,0.42276422764227645,107.0,172,112.0,227,115.0,True
P12,trial_16_L_unaffected,627.0990438702875,100.88619531022252,526.2128485600649,0.0,0.3626062322946176,100.0,159,105.0,229,124.0,True
P12,trial_17_L_unaffected,633.4149694671455,110.23049423501917,523.1844752321264,0.0,0.35501355013550134,110.0,169,163.0,249,86.0,True
P12,trial_18_L_unaffected,643.6487425733574,111.90098362719563,531.7477589461618,0.0,0.32409972299168976,,166,,229,,False
P12,trial_19_L_unaffected,660.7491345031839,109.50601604646728,551.2431184567166,0.0,0.42513368983957217,108.0,175,113.0,226,113.0,True
P12,trial_1_L_unaffected,550.7217351711627,104.80600148870117,445.9157336824615,0.0,0.024498886414253896,189.0,195,448.0,296,152.0,True
P12,trial_20_L_unaffected,632.3982846292577,108.24818287988734,524.1501017493704,0.0,0.40153452685422,142.0,165,332.0,251,81.0,True
P12,trial_21_L_unaffected,658.5941128092987,106.11446140500342,552.4796514042953,0.0,0.3314285714285714,267.0,169,349.0,208,141.0,True
P12,trial_22_L_unaffected,639.8336596418187,105.35276870880786,534.4808909330109,0.0,0.34195402298850575,113.0,162,118.0,224,106.0,True
P12,trial_23_L_unaffected,645.9595748410285,109.80891741850537,536.1506574225231,0.0,0.07398568019093078,299.0,186,418.0,279,139.0,True
P12,trial_24_L_unaffected,708.9921473056353,108.72351115304646,600.2686361525888,0.0,0.14936708860759493,142.0,177,147.0,263,116.0,True
