measure,r_s,r_av,r_s_mmcwin,n,note
interjoint_coordination,0.4830770060561349,0.8270123932804853,0.5710762035911365,748,
vc_coup_mean,0.6066814928547576,,,748,median |diff| 4.2 deg
vc_coord_var,0.43833703162817933,0.5369155920090717,0.21959559100038395,748,
vc_in_phase,0.34967924101896364,0.4320008494858001,0.3006073372469038,748,
vc_anti_phase,0.4295031956706001,0.635900351185159,0.3618589015793846,748,
vc_proximal,0.603276377736939,0.7255170432717356,0.6267700641515299,748,
vc_distal,0.31531121941550055,0.41087578363520705,0.2983446400419332,748,
number_of_movement_units,0.8406457843591773,0.9328302569503806,0.80435831551353,748,
ldlj,0.6294895301904243,0.7105031064900337,0.33310710999028104,748,
