part,k,subset,cov,err_wr,err_el,err_sh
P07,2,1,,33.83373581803377,63.29318529435167,33.168800146963896
P07,2,2,,30.746434636135938,54.83194182611178,28.461971095217372
P07,2,3,,30.093773949957686,39.37144876064114,30.08249672148074
P07,2,4,,33.964140215587484,44.7731637906284,75.41418175892463
P07,2,12,40.72708511352539,26.99979768633424,54.548749839169865,37.58831057173306
P07,2,13,45.72364807128906,28.391593557919634,44.40091080794539,38.60431028080075
P07,2,14,80.72357177734375,23.813698062692968,52.42620776088852,49.51559985096737
P07,2,23,10.890088081359863,39.645744353570265,67.4330093536017,45.97975092953634
P07,2,24,42.33165740966797,23.58786196659319,54.80526693929196,50.14727654357676
P07,2,34,35.06327438354492,27.88571065009283,44.73511100058023,49.09880388231242
P07,3,12,40.72708511352539,28.805850098646317,57.21839978795624,31.763986918886594
P07,3,13,45.72364807128906,25.837095316770704,44.36415049029421,31.65834422618314
P07,3,14,80.72357177734375,21.06128926038878,51.40562539074703,43.122370172324885
P07,3,23,10.890088081359863,27.765872703116763,47.75855122218682,29.706507268697703
P07,3,24,42.33165740966797,22.8235948483735,50.65480451837302,37.19033410748032
P07,3,34,35.06327438354492,26.16015999774988,38.31844926194807,35.87418890279396
P07,3,123,32.44694137573242,25.743419001270773,49.01303330284306,38.359355026605165
P07,3,124,54.5941047668457,21.6717200822079,52.57528908336455,45.8246197848418
P07,3,134,53.83683395385742,25.34096044941781,44.52848839410377,42.38386899845243
P07,3,234,29.4283390045166,25.18182773369923,49.30218996327263,48.62276723572677
P07,4,123,32.44694137573242,24.90534669902629,48.781091115094725,31.84521991744785
P07,4,124,54.5941047668457,20.92944903755661,52.21055313628055,38.122554240243865
P07,4,134,53.83683395385742,23.60461660174668,43.63702818379315,36.883782634536864
P07,4,234,29.4283390045166,24.204069593076444,45.870784202074816,36.051731089532325
P07,4,1234,42.57655715942383,23.5502832080511,47.96791378761724,43.19832854831687
P07,5,1234,42.57655715942383,22.490085260024085,47.36648845052122,36.67960553146533
P07,2,1,,31.13604691653157,60.57583086167964,33.21949157828206
P07,2,2,,27.72170015770972,49.8254871703509,26.53159168846164
P07,2,3,,29.352237722951088,39.16004858988388,28.49274968186215
P07,2,4,,33.04465133990226,45.9515983580163,73.17885271505023
P07,2,12,40.72708511352539,22.37920625524097,49.72935707529719,37.00785372085941
P07,2,13,45.72364807128906,26.844265141417665,42.263945345967095,38.39353999754519
P07,2,14,80.72357177734375,22.3178999234343,50.65502876522423,49.303829774427534
P07,2,23,10.890088081359863,39.50190976157592,62.637478914248206,48.12368042514135
P07,2,24,42.33165740966797,22.45401056051801,50.04253572909303,51.0699884604274
P07,2,34,35.06327438354492,26.93719404475732,45.664624933460345,49.81004732391023
P07,3,12,40.72708511352539,25.53413390611441,53.95606914172669,32.06393218633937
P07,3,13,45.72364807128906,23.075607250915816,43.14503695159716,31.5849162394175
P07,3,14,80.72357177734375,18.58279320620612,50.2438280276432,42.64655556232
P07,3,23,10.890088081359863,25.311619223197027,45.029323702767385,29.154474094240165
P07,3,24,42.33165740966797,20.81185497858194,47.52795786538838,36.95907086326482
P07,3,34,35.06327438354492,24.784383451030603,38.73851784659787,35.09185836334695
P07,3,123,32.44694137573242,24.4054047620417,45.02235207646849,37.92991237546039
P07,3,124,54.5941047668457,20.53972967653747,49.105799819785865,45.59910524711631
P07,3,134,53.83683395385742,23.826055607598157,43.4753515961659,42.4658314850551
P07,3,234,29.4283390045166,24.079292405451408,46.10424558092714,49.76667797939197
P07,4,123,32.44694137573242,22.20919712629244,45.94308684214857,31.570954744484364
P07,4,124,54.5941047668457,18.649469648674327,49.29290281297006,37.90259799849317
P07,4,134,53.83683395385742,21.598783554614734,42.897760061033445,36.59454944283767
P07,4,234,29.4283390045166,22.485738739644518,43.730510271313584,35.977597761473056
P07,4,1234,42.57655715942383,22.281268906071222,45.17108996489232,43.28546512523084
P07,5,1234,42.57655715942383,20.58120096057798,45.07475254108026,36.51457978923744
P07,2,1,,33.54200519857801,63.9648755696092,33.57439277087569
P07,2,2,,30.052467810079207,54.31535522812628,28.23758229059504
P07,2,3,,29.24681291196592,41.101456607314695,29.96862269700909
P07,2,4,,32.49941354064317,45.27903240446884,73.05519439982068
P07,2,12,40.72708511352539,24.703205000055537,53.73913691946986,37.32348894378149
P07,2,13,45.72364807128906,26.807422222962565,44.622507905595846,38.88524850219782
P07,2,14,80.72357177734375,21.950063384368647,52.30216100825154,49.39799687650845
P07,2,23,10.890088081359863,38.13557801170065,68.45804031683022,47.83055991676085
P07,2,24,42.33165740966797,21.464412572913357,53.843982066166895,50.47125583802772
P07,2,34,35.06327438354492,25.82493488697203,48.09329731916722,48.25710215808113
P07,3,12,40.72708511352539,28.416216247345965,57.2016059715305,31.963521179608627
P07,3,13,45.72364807128906,24.355689482756667,45.16419348777792,31.616568399570102
P07,3,14,80.72357177734375,18.783061783458606,51.54100130869042,42.93948872585917
P07,3,23,10.890088081359863,26.832083571963597,48.17581809831378,29.53887126028636
P07,3,24,42.33165740966797,21.161517680810384,50.22798625218935,37.05015896586733
P07,3,34,35.06327438354492,24.192204089832625,39.93787675618925,35.7480767955656
P07,3,123,32.44694137573242,24.281683187701347,48.42946822127872,38.825729720909614
P07,3,124,54.5941047668457,20.026263384706603,51.94623048944843,45.88928965275116
P07,3,134,53.83683395385742,23.45811627814746,45.27052529252364,42.65590479641897
P07,3,234,29.4283390045166,23.10638552999012,49.413161763702135,48.917494519972536
P07,4,123,32.44694137573242,23.74500040906388,48.90102015335844,31.84570845518302
P07,4,124,54.5941047668457,19.25366309146671,51.8872159726987,38.15728177475156
P07,4,134,53.83683395385742,21.766362584955267,44.4265107159832,37.01174103484937
P07,4,234,29.4283390045166,22.485583110630333,46.26136271843159,36.08185981409969
P07,4,1234,42.57655715942383,21.84260163118709,47.874997877544544,43.52666703434204
P07,5,1234,42.57655715942383,20.82292483788187,47.52091606751031,36.82450114906759
P07,2,1,,29.406427036715183,59.60206184153555,33.6587260263302
P07,2,2,,26.838414825224252,55.35833540821439,30.07398157089541
P07,2,3,,25.942188982003334,41.716726615628566,33.31921449204556
P07,2,4,,28.19010085501976,45.867179265240026,74.71242378849342
P07,2,12,40.72708511352539,24.11009847474338,55.1892962697476,39.059259563473226
P07,2,13,45.72364807128906,24.12159950396629,45.79661001263818,40.94655186858452
P07,2,14,80.72357177734375,22.158917330309837,51.30593441380873,50.25686467622147
P07,2,23,10.890088081359863,30.7223465616801,67.2353196373786,48.58972440946422
P07,2,24,42.33165740966797,21.755489520573636,56.10247037147628,50.78387972173898
P07,2,34,35.06327438354492,24.206023778933865,47.33988618985368,49.71362342671976
P07,3,12,40.72708511352539,25.77485590921094,56.67844449755406,32.77917350018265
P07,3,13,45.72364807128906,21.888187285999333,45.34058026239918,33.93438681002216
P07,3,14,80.72357177734375,19.05499963856177,50.22064559297475,44.10598182842416
P07,3,23,10.890088081359863,23.805353344194312,49.79930815960684,32.39880495324119
P07,3,24,42.33165740966797,20.334385678948173,51.77771170991596,38.25969782705825
P07,3,34,35.06327438354492,22.420188107011203,41.27081194104077,38.18820169155345
P07,3,123,32.44694137573242,22.07219522762224,50.18352854755076,40.39311052983321
P07,3,124,54.5941047668457,20.070332645749307,52.919053779643086,46.63980901820276
P07,3,134,53.83683395385742,22.13334990775777,46.52452949193776,44.2192789636068
P07,3,234,29.4283390045166,22.484456524822573,52.15917154359948,49.9933125876946
P07,4,123,32.44694137573242,21.546263466004515,49.89811009690459,33.86776187031918
P07,4,124,54.5941047668457,18.96637804248516,52.27265275514118,39.07115624863127
P07,4,134,53.83683395385742,20.42135264248068,45.08189772383707,38.83991428630766
P07,4,234,29.4283390045166,21.13126886811368,48.271023312385466,37.9719577468088
P07,4,1234,42.57655715942383,20.90818336225134,49.84282654695807,44.81019478372424
P07,5,1234,42.57655715942383,19.7570427879768,48.80375004559267,38.38649539681886
P07,2,1,,29.07730109578789,60.973513874322265,33.74618788755476
P07,2,2,,27.579499075337164,53.01670193381673,30.44167002237457
P07,2,3,,28.766572877064075,40.67105043061972,32.308428099583914
P07,2,4,,32.983106772068496,48.80548492363563,74.40737590086246
P07,2,12,40.72708511352539,27.304382194252817,54.15660438774268,37.64476948874082
P07,2,13,45.72364807128906,27.074261558350468,45.80426064199317,39.02124949435498
P07,2,14,80.72357177734375,23.601940439565965,54.59031849765192,51.03092978195574
P07,2,23,10.890088081359863,36.83684741478584,66.01320080589876,48.58462780056542
P07,2,24,42.33165740966797,23.54044083801114,55.0102635472159,52.3769210080082
P07,2,34,35.06327438354492,27.033665775178708,46.96974779184835,51.04010104208705
P07,3,12,40.72708511352539,26.85479082466277,56.36398532783107,32.98219330320817
P07,3,13,45.72364807128906,24.544401294190912,45.22377147029806,33.41253844487803
P07,3,14,80.72357177734375,20.732219918622263,53.13047751711265,44.91308054705058
P07,3,23,10.890088081359863,25.60522035001529,48.06311290727672,32.37887311666421
P07,3,24,42.33165740966797,22.17832463237654,51.21334419433097,39.429404034269936
P07,3,34,35.06327438354492,24.895541213295527,40.864196535897655,38.01828820731365
P07,3,123,32.44694137573242,25.197041547012432,49.59623690355018,38.69753748758884
P07,3,124,54.5941047668457,22.208553265714706,53.47204264147284,47.05099344762517
P07,3,134,53.83683395385742,24.317629287080155,46.77683719113514,43.89249014117794
P07,3,234,29.4283390045166,24.256932089040497,50.30455754629914,50.97287560467902
P07,4,123,32.44694137573242,23.53487393659853,48.993322451619,33.469985146910375
P07,4,124,54.5941047668457,20.70922950602028,52.728336438735205,39.79247466235493
P07,4,134,53.83683395385742,22.62228511092218,45.553308510968094,38.81318778537232
P07,4,234,29.4283390045166,23.04469192106535,47.052367453216426,38.53279613960856
P07,4,1234,42.57655715942383,23.07500582628616,49.27865329514205,44.62996657101581
P07,5,1234,42.57655715942383,21.742356036012502,48.40974271106684,38.546868684498016
P07,2,1,,31.43621168671745,63.90529703675168,32.927787875101714
P07,2,2,,27.4642310517565,53.90375241614135,27.24666905045629
P07,2,3,,26.18725253967736,41.3836375932013,29.84094659990783
P07,2,4,,33.16939552203903,46.37672827260384,75.22118463022214
P07,2,12,40.72708511352539,22.81173714557074,53.30994894250215,37.14629833987678
P07,2,13,45.72364807128906,23.09152800558639,45.433438366520136,38.581895744176606
