trial,side,arm_gatefail_frac,ij_forced,ij_ba,automq_ij
trial_10_L_unaffected,left,0.40821256038647347,0.9729751960984737,0.9865575473174595,0.9604461698693778
trial_11_L_unaffected,left,0.4192021636240703,0.9829236421675559,0.9946879778698362,0.8154218763662828
trial_12_L_unaffected,left,0.477433830733674,0.9778592547800119,0.9778594706327964,0.7925934479136876
trial_13_L_unaffected,left,0.3976470588235294,0.9333543122084149,0.9797329041525779,0.9614019806867568
trial_15_L_unaffected,left,0.3989993746091307,0.8771070078379987,,0.995418405408741
trial_16_L_unaffected,left,0.34684684684684686,0.7540547657428457,0.7615356657666374,0.9660715308028753
trial_17_L_unaffected,left,0.393939393939394,0.7469179111281793,0.8567577925836551,0.7785156078436636
trial_18_L_unaffected,left,0.35540838852097134,0.9118519957697127,,0.9386002717941144
trial_20_L_unaffected,left,0.39034045922406974,0.6418853863233863,0.6418858474487316,0.466696145728893
trial_21_L_unaffected,left,0.3741935483870968,0.9384440612252202,0.9613582230080886,0.9453909324079758
trial_22_L_unaffected,left,0.3823754789272031,0.9823103488312467,0.9817111072381742,0.9953437644262441
trial_23_L_unaffected,left,0.3584905660377358,0.9615878269846768,0.9585900584882895,0.9221409501975847
trial_24_L_unaffected,left,0.41626794258373206,0.9413121699162776,0.9741300901014233,0.9665039188593495
trial_25_L_unaffected,left,0.3763213530655391,0.9773236565684152,,0.9891653577542697
trial_28_L_unaffected,left,0.38222222222222224,0.9944001444365211,0.9939398812924274,0.9992116864826157
trial_29_L_unaffected,left,0.4108681245858185,0.9896557437705977,0.989448052927763,0.9890167866144518
trial_31_L_unaffected,left,0.3457875457875457,0.9971474187600157,0.9941778218747391,0.9792716324309461
trial_35_L_unaffected,left,0.32563025210084034,0.970654265151643,0.9298639342193364,0.9532180752210292
trial_36_L_unaffected,left,0.361236802413273,0.9810299820002499,,0.9456533609570668
trial_37_L_unaffected,left,0.5502471169686985,0.755663553597696,0.7820288877223357,0.807956809925209
trial_38_L_unaffected,left,0.45565749235474007,0.9786005402342595,0.9786005404707621,0.9708748416766432
trial_39_L_unaffected,left,0.4880677444187837,0.8927214759602677,0.8927211878116912,0.9589517078575581
trial_40_L_unaffected,left,0.4196165191740413,0.961079824570833,0.9277251280152885,0.9704847568599791
trial_42_L_unaffected,left,0.46055045871559636,0.9625323116698892,,0.992986642730087
trial_43_L_unaffected,left,0.4555778223112892,0.9425876614934601,0.9330908515209725,0.9847725277346712
trial_44_L_unaffected,left,0.4818417639429313,0.9744126187984626,0.9789711425610279,0.987112599215369
trial_45_L_unaffected,left,0.4816154309825196,0.9476675622794447,,0.9728972597465905
trial_47_R_affected,right,0.7026378896882495,-0.19767839458305808,0.21779901060765425,0.6895223820735659
trial_48_R_affected,right,0.7496296296296295,-0.3937332891670077,0.21023555650364958,0.26291568915725266
trial_49_R_affected,right,0.7870370370370371,-0.3496806470211209,0.44381041323179715,0.310093152123115
trial_52_R_affected,right,0.7728682170542635,0.18815959739212645,0.2696790139947965,0.25481144217680224
trial_53_R_affected,right,0.7630718954248366,0.98129472622367,0.821566644448488,0.7410298072433696
trial_54_R_affected,right,0.7631352282515073,0.7321271777704935,0.6422324902272355,0.7792274200979569
trial_57_R_affected,right,0.7802840434419381,0.15895640141471531,-0.061855496765640595,0.46178213105875726
trial_58_R_affected,right,0.6495916852264291,0.6779538792967488,0.7743261238544944,0.8595875101807045
trial_59_R_affected,right,0.7046004842615012,0.7850662074364604,0.8642675549312421,0.95178392068496
trial_60_R_affected,right,0.770935960591133,-0.07093155132877903,0.4549091371072235,0.558201453413245
trial_61_R_affected,right,0.7420091324200914,0.7025972231163939,0.820324650514716,0.8971562839584897
trial_62_R_affected,right,0.6860119047619048,-0.36063284297646603,0.2638401426781309,0.8817827837120997
trial_63_R_affected,right,0.7195027195027195,0.08155363661086833,0.5712360222289219,0.9633604290263539
trial_64_R_affected,right,0.6666666666666666,0.7984129949906869,0.674429399704986,0.9695918563141518
trial_67_R_affected,right,0.6976744186046512,-0.6498995040282104,-0.22365427007184524,0.2808070355667968
trial_6_L_unaffected,left,0.4347319347319347,0.9760787761516989,0.9466585955689535,0.8406701595728294
trial_70_R_affected,right,0.6830601092896175,0.4681303324934931,0.7876486057850522,0.6063530160614431
trial_74_R_affected,right,0.7282525019245574,0.14043975806924724,-0.07251179591602448,0.4985596652488197
trial_77_R_affected,right,0.6675020885547202,0.7966991437992381,-0.22718457872870856,0.09389076429203715
trial_78_R_affected,right,0.6994404476418866,0.2737990149797306,-0.5635427780518464,-0.7178125661058845
trial_7_L_unaffected,left,0.352328431372549,0.9893129075344984,,0.5853544431602712
trial_80_R_affected,right,0.6573875802997858,0.3969399924123835,0.05061605826803167,-0.2877551493393164
trial_83_R_affected,right,0.6520241171403961,0.6868343718841526,0.25146857483578383,0.4047140927368692
trial_84_R_affected,right,0.6970486111111112,0.834485472482176,-0.07209361593913245,0.10269857694921126
trial_85_R_affected,right,0.6397163120567376,0.7671980908838294,-0.06494779616175218,0.5741495027403997
trial_87_R_affected,right,0.7257495590828924,0.5251791370257999,-0.05106075460119696,0.5455413772365391
trial_88_R_affected,right,0.5956006768189509,0.2755543723907284,-0.23177500867079934,0.43665528663651576
trial_8_L_unaffected,left,0.34334103156274054,0.9639839883925698,0.9912195501927659,0.763372973840736
trial_90_R_affected,right,0.5253333333333333,0.6333932361612106,0.6419182031469491,0.017088738716248785
trial_93_R_affected,right,0.6720333929636255,0.6268100451184925,0.5295863211050983,-0.32484399113426843
