part,trial,arm,measure,omc,mmc60,mmc30,mmc30raw
P07,trial_10_L_unaffected,unaffected,peak_velocity,573.4429931640625,581.3159790039062,548.257080078125,548.257080078125
P07,trial_10_L_unaffected,unaffected,peak_elbow_angular_velocity,137.39859553235206,143.32611517307654,126.59804460984596,123.69666037641586
P07,trial_10_L_unaffected,unaffected,time_to_peak_velocity,1.75,1.7166666666666666,1.7333333333333334,1.7333333333333334
P07,trial_10_L_unaffected,unaffected,time_to_first_peak_velocity,1.75,1.7333333333333334,1.7666666666666666,1.7666666666666666
P07,trial_10_L_unaffected,unaffected,number_of_movement_units,2.0,1.0,0.0,0.0
P07,trial_10_L_unaffected,unaffected,total_movement_time,6.283333333333333,5.9,6.266666666666667,6.266666666666667
P07,trial_10_L_unaffected,unaffected,interjoint_coordination,0.9793399493496342,0.9762878601766732,0.9720162495691018,0.9722872634005105
P07,trial_10_L_unaffected,unaffected,max_trunk_displacement,40.34313132643736,47.3058833540536,47.19476440596862,47.19476440596862
P07,trial_10_L_unaffected,unaffected,max_shoulder_flexion,57.445819058655125,56.413977226249024,56.748141926191416,56.72735980746194
P07,trial_10_L_unaffected,unaffected,max_shoulder_flexion_drink,57.445819058655125,56.413977226249024,56.748141926191416,56.72735980746194
P07,trial_10_L_unaffected,unaffected,max_elbow_angle,151.43603763363882,150.63158794862784,151.20723356046074,151.32086302458129
P07,trial_10_L_unaffected,unaffected,max_shoulder_abduction,26.283747894676146,23.414786938067333,23.00394547808537,22.939170287448682
P07,trial_11_L_unaffected,unaffected,peak_velocity,569.2340698242188,573.576171875,526.6719360351562,526.6719360351562
P07,trial_11_L_unaffected,unaffected,peak_elbow_angular_velocity,137.48880863571017,124.55162457517744,115.25764044801981,113.66242537227691
P07,trial_11_L_unaffected,unaffected,time_to_peak_velocity,0.4166666666666667,0.35,0.36666666666666664,0.36666666666666664
P07,trial_11_L_unaffected,unaffected,time_to_first_peak_velocity,0.4166666666666667,0.31666666666666665,0.4,0.4
P07,trial_11_L_unaffected,unaffected,number_of_movement_units,2.0,2.0,2.0,2.0
P07,trial_11_L_unaffected,unaffected,total_movement_time,7.333333333333333,7.016666666666667,7.033333333333333,7.033333333333333
P07,trial_11_L_unaffected,unaffected,interjoint_coordination,0.9596795601164507,0.9841558767818489,0.9827355247894969,0.9827968613160198
P07,trial_11_L_unaffected,unaffected,max_trunk_displacement,39.58627297047376,46.10670582130609,44.70165345135535,44.70165345135535
P07,trial_11_L_unaffected,unaffected,max_shoulder_flexion,62.48220862612003,59.643211057075064,59.76720332591586,59.74690502242085
P07,trial_11_L_unaffected,unaffected,max_shoulder_flexion_drink,62.48220862612003,59.643211057075064,59.76720332591586,59.74690502242085
P07,trial_11_L_unaffected,unaffected,max_elbow_angle,152.44358068057758,154.29721502469354,154.9243644561548,154.98471587791965
P07,trial_11_L_unaffected,unaffected,max_shoulder_abduction,25.657272384738086,26.687101238769912,26.76837275029656,26.750130366874476
P07,trial_12_L_unaffected,unaffected,peak_velocity,582.9240112304688,540.2930297851562,509.2322998046875,509.2322998046875
P07,trial_12_L_unaffected,unaffected,peak_elbow_angular_velocity,152.0611411923018,145.7992226292157,125.65419138405858,121.38643735401729
P07,trial_12_L_unaffected,unaffected,time_to_peak_velocity,0.2833333333333333,0.26666666666666666,0.3,0.3
