part,cond,fstd,r_raw,pert_std,r_shrink
P07,unaffected,7.2273403248272245,0.9955406714273571,0.0006503117184704405,0.8492199922919159
P07,unaffected,6.65431645859751,0.9840458101321142,0.001429278225611795,0.8178216296279421
P07,unaffected,7.097078820338547,0.9987060980195113,0.0005174442081235181,0.8473067755507814
P07,unaffected,6.942779381298909,0.994545255224841,0.0008155123604766863,0.8380668407563422
P07,unaffected,6.718904027271516,0.9893491196230884,0.0012340950741312193,0.8248951426713108
P07,unaffected,5.980853860860275,0.9951105640045013,0.0007668549344789077,0.7950687398049748
P07,unaffected,5.975876441595128,0.9937848384283231,0.0011126911083925418,0.7937436026536787
P07,unaffected,6.615312524385915,0.9868238436793484,0.001124913074941553,0.8184952354144511
P07,unaffected,6.507655439342492,0.9668183932462878,0.0018990291082661604,0.7973649010284591
P07,unaffected,6.45993827406984,0.9892096685901334,0.001045783100100289,0.813716938774354
P07,unaffected,6.080855228602464,0.9839332258513545,0.0013664613288667188,0.7913274122079725
P07,unaffected,6.565586889039333,0.9966705394441521,0.0006850399040332628,0.824523866269444
P07,unaffected,6.546110663418036,0.986831528590234,0.0012682355721427773,0.8155448222288147
P07,unaffected,6.584026873377006,0.9955781328000638,0.0007461382937414821,0.8244166389539495
P07,unaffected,6.55888273652518,0.993777617436482,0.00104407204919768,0.8218402791546022
P07,unaffected,6.356261124757986,0.9978584179606637,0.0005809981955719513,0.8160699139545686
P07,unaffected,6.43859746168471,0.9963848667667236,0.0006911095668166998,0.818654843751186
P07,unaffected,6.4525793076639815,0.9875365711024245,0.0012902321504235888,0.8120118889750534
P07,unaffected,6.328850627171692,0.9958499265993943,0.0007112020660104709,0.8131413739083851
P07,unaffected,6.128620196469115,0.9901257166911347,0.0011550007487146148,0.7987353768506165
P07,unaffected,5.9227315893028445,0.989169188216189,0.0010869306835916014,0.7872006024648617
P07,unaffected,5.777994154652613,0.9892994602941106,0.0012473750122002547,0.7792334068884789
P07,unaffected,6.344068040161914,0.989142207716684,0.0012944794173874632,0.8083749763550654
P07,unaffected,5.904616258041125,0.9952274451769513,0.0008726374296862792,0.7910293258689657
P07,unaffected,5.756404305017607,0.9983686904949894,0.0006211079729304203,0.7851240164282262
P07,unaffected,5.364549305418727,0.9362229931682593,0.003058320601466453,0.7131852431282827
P07,unaffected,5.4347142167098195,0.9849828422352923,0.001590349564707728,0.7549429238887637
P07,unaffected,5.609410703163429,0.9933242062559535,0.0011727956003291268,0.7723972336265726
P07,unaffected,5.412321552648636,0.9819114957735026,0.0016278736377546017,0.75113428761854
P07,unaffected,5.789652262241314,0.9897613291538611,0.0010525685329809385,0.7802637608916333
P07,affected,3.285913871286585,0.9368678110625047,0.002593926025734147,0.5109592211968029
P07,affected,3.658317472020497,0.9656319478536308,0.0028387011785934086,0.5773651290869023
P07,affected,2.496421862606096,0.964626170476228,0.0031132393274481353,0.3946704237906706
P07,affected,3.5364018349719566,0.9155099813795493,0.004149143744062118,0.5323826222963302
P07,affected,3.522112643427488,0.9222430325370177,0.003871165207634335,0.5344794399694385
