part,trial,cond,measure,mmc,automq
P07,trial_13_L_unaffected,full,number_of_movement_units,1.0,1.0
P07,trial_13_L_unaffected,drop1,max_trunk_displacement,41.94002881088717,27.707534790039062
P07,trial_13_L_unaffected,drop1,peak_elbow_angular_velocity,100.29460307169298,93.35381840775909
P07,trial_13_L_unaffected,drop1,total_movement_time,5.833333333333333,5.84
P07,trial_13_L_unaffected,drop1,time_to_first_peak_velocity,1.6833333333333331,1.61
P07,trial_13_L_unaffected,drop1,time_to_peak_velocity,1.6633333333333333,1.61
P07,trial_13_L_unaffected,drop1,max_elbow_angle,148.75827704982322,145.22961645338916
P07,trial_13_L_unaffected,drop1,peak_velocity,623.196826171875,485.824778098891
P07,trial_13_L_unaffected,drop1,interjoint_coordination,0.9705522150899781,0.9420635266240028
P07,trial_13_L_unaffected,drop1,max_shoulder_abduction,27.777496362467826,32.74390814153139
P07,trial_13_L_unaffected,drop1,number_of_movement_units,1.0,1.0
P07,trial_13_L_unaffected,drop1,max_shoulder_flexion,57.48715640709916,62.79601767313398
P07,trial_13_L_unaffected,min2,max_trunk_displacement,44.132635871273706,27.707534790039062
P07,trial_13_L_unaffected,min2,peak_elbow_angular_velocity,147.76106871427186,93.35381840775909
P07,trial_13_L_unaffected,min2,total_movement_time,5.833333333333334,5.84
P07,trial_13_L_unaffected,min2,time_to_first_peak_velocity,1.73,1.61
P07,trial_13_L_unaffected,min2,time_to_peak_velocity,1.7116666666666667,1.61
P07,trial_13_L_unaffected,min2,max_elbow_angle,149.56409659860307,145.22961645338916
P07,trial_13_L_unaffected,min2,peak_velocity,770.2864685058594,485.824778098891
P07,trial_13_L_unaffected,min2,interjoint_coordination,0.8522981102969759,0.9420635266240028
P07,trial_13_L_unaffected,min2,max_shoulder_abduction,27.407133219370717,32.74390814153139
P07,trial_13_L_unaffected,min2,number_of_movement_units,1.7,1.0
P07,trial_13_L_unaffected,min2,max_shoulder_flexion,53.708721282493514,62.79601767313398
P07,trial_13_L_unaffected,miscal2,max_trunk_displacement,41.609692006470524,27.707534790039062
P07,trial_13_L_unaffected,miscal2,peak_elbow_angular_velocity,96.70142701301813,93.35381840775909
P07,trial_13_L_unaffected,miscal2,total_movement_time,5.833333333333334,5.84
P07,trial_13_L_unaffected,miscal2,time_to_first_peak_velocity,1.6833333333333331,1.61
P07,trial_13_L_unaffected,miscal2,time_to_peak_velocity,1.65,1.61
P07,trial_13_L_unaffected,miscal2,max_elbow_angle,148.76217327016718,145.22961645338916
P07,trial_13_L_unaffected,miscal2,peak_velocity,609.9138854980469,485.824778098891
P07,trial_13_L_unaffected,miscal2,interjoint_coordination,0.9707535675261321,0.9420635266240028
P07,trial_13_L_unaffected,miscal2,max_shoulder_abduction,27.923775878904348,32.74390814153139
P07,trial_13_L_unaffected,miscal2,number_of_movement_units,1.0,1.0
P07,trial_13_L_unaffected,miscal2,max_shoulder_flexion,58.09208914211589,62.79601767313398
P07,trial_13_L_unaffected,miscal4,max_trunk_displacement,41.563105546362735,27.707534790039062
P07,trial_13_L_unaffected,miscal4,peak_elbow_angular_velocity,97.39480190930598,93.35381840775909
P07,trial_13_L_unaffected,miscal4,total_movement_time,5.833333333333334,5.84
P07,trial_13_L_unaffected,miscal4,time_to_first_peak_velocity,1.6816666666666666,1.61
P07,trial_13_L_unaffected,miscal4,time_to_peak_velocity,1.645,1.61
P07,trial_13_L_unaffected,miscal4,max_elbow_angle,148.76723800080435,145.22961645338916
P07,trial_13_L_unaffected,miscal4,peak_velocity,611.2256652832032,485.824778098891
P07,trial_13_L_unaffected,miscal4,interjoint_coordination,0.97096737244868,0.9420635266240028
P07,trial_13_L_unaffected,miscal4,max_shoulder_abduction,27.731314271665752,32.74390814153139
P07,trial_13_L_unaffected,miscal4,number_of_movement_units,1.0,1.0
P07,trial_13_L_unaffected,miscal4,max_shoulder_flexion,58.24980152115489,62.79601767313398
P07,trial_14_L_unaffected,full,max_shoulder_flexion,54.939043920059575,59.49030647647549
P07,trial_14_L_unaffected,full,max_shoulder_abduction,28.995576191804993,30.598710223326055
P07,trial_14_L_unaffected,full,max_elbow_angle,148.30779805497542,146.34543390211488
P07,trial_14_L_unaffected,full,peak_elbow_angular_velocity,111.56696278660917,96.80611153702614
P07,trial_14_L_unaffected,full,interjoint_coordination,0.9675603618829218,0.9445628823109831
P07,trial_14_L_unaffected,full,max_trunk_displacement,49.00497600221747,41.7738037109375
P07,trial_14_L_unaffected,full,peak_velocity,627.261962890625,565.3263764461386
P07,trial_14_L_unaffected,full,total_movement_time,7.2,7.19
P07,trial_14_L_unaffected,full,time_to_peak_velocity,1.3333333333333333,1.38
P07,trial_14_L_unaffected,full,time_to_first_peak_velocity,1.3666666666666667,1.38
P07,trial_14_L_unaffected,full,number_of_movement_units,3.0,1.0
P07,trial_14_L_unaffected,drop1,max_trunk_displacement,49.18820046952361,41.7738037109375
P07,trial_14_L_unaffected,drop1,peak_elbow_angular_velocity,114.86807792175709,96.80611153702614
P07,trial_14_L_unaffected,drop1,total_movement_time,7.2,7.19
P07,trial_14_L_unaffected,drop1,time_to_first_peak_velocity,1.3666666666666667,1.38
P07,trial_14_L_unaffected,drop1,time_to_peak_velocity,1.3399999999999999,1.38
P07,trial_14_L_unaffected,drop1,max_elbow_angle,148.3471440024861,146.34543390211488
P07,trial_14_L_unaffected,drop1,peak_velocity,635.353662109375,565.3263764461386
P07,trial_14_L_unaffected,drop1,interjoint_coordination,0.9670522555674534,0.9445628823109831
P07,trial_14_L_unaffected,drop1,max_shoulder_abduction,28.510171801258224,30.598710223326055
P07,trial_14_L_unaffected,drop1,number_of_movement_units,3.2,1.0
P07,trial_14_L_unaffected,drop1,max_shoulder_flexion,54.58733172696593,59.49030647647549
P07,trial_14_L_unaffected,min2,max_trunk_displacement,51.69440453240882,41.7738037109375
P07,trial_14_L_unaffected,min2,peak_elbow_angular_velocity,145.06034085141658,96.80611153702614
P07,trial_14_L_unaffected,min2,total_movement_time,7.2,7.19
P07,trial_14_L_unaffected,min2,time_to_first_peak_velocity,1.4066666666666667,1.38
P07,trial_14_L_unaffected,min2,time_to_peak_velocity,1.3883333333333334,1.38
P07,trial_14_L_unaffected,min2,max_elbow_angle,149.67435992350914,146.34543390211488
P07,trial_14_L_unaffected,min2,peak_velocity,797.64619140625,565.3263764461386
P07,trial_14_L_unaffected,min2,interjoint_coordination,0.9475162469046744,0.9445628823109831
P07,trial_14_L_unaffected,min2,max_shoulder_abduction,27.38238797398541,30.598710223326055
P07,trial_14_L_unaffected,min2,number_of_movement_units,3.2,1.0
P07,trial_14_L_unaffected,min2,max_shoulder_flexion,50.98213154463702,59.49030647647549
P07,trial_14_L_unaffected,miscal2,max_trunk_displacement,48.98820480280064,41.7738037109375
P07,trial_14_L_unaffected,miscal2,peak_elbow_angular_velocity,111.80900956795226,96.80611153702614
P07,trial_14_L_unaffected,miscal2,total_movement_time,7.2,7.19
P07,trial_14_L_unaffected,miscal2,time_to_first_peak_velocity,1.3666666666666667,1.38
P07,trial_14_L_unaffected,miscal2,time_to_peak_velocity,1.3333333333333335,1.38
P07,trial_14_L_unaffected,miscal2,max_elbow_angle,148.30249808002057,146.34543390211488
P07,trial_14_L_unaffected,miscal2,peak_velocity,627.4891967773438,565.3263764461386
P07,trial_14_L_unaffected,miscal2,interjoint_coordination,0.9677234780483946,0.9445628823109831
P07,trial_14_L_unaffected,miscal2,max_shoulder_abduction,28.832932229354196,30.598710223326055
P07,trial_14_L_unaffected,miscal2,number_of_movement_units,3.2,1.0
P07,trial_14_L_unaffected,miscal2,max_shoulder_flexion,55.09044764221382,59.49030647647549
P07,trial_14_L_unaffected,miscal4,max_trunk_displacement,48.95245624767933,41.7738037109375
P07,trial_14_L_unaffected,miscal4,peak_elbow_angular_velocity,112.02194061198693,96.80611153702614
P07,trial_14_L_unaffected,miscal4,total_movement_time,7.2,7.19
P07,trial_14_L_unaffected,miscal4,time_to_first_peak_velocity,1.3666666666666667,1.38
P07,trial_14_L_unaffected,miscal4,time_to_peak_velocity,1.3333333333333335,1.38
P07,trial_14_L_unaffected,miscal4,max_elbow_angle,148.3165939432618,146.34543390211488
P07,trial_14_L_unaffected,miscal4,peak_velocity,627.2787231445312,565.3263764461386
P07,trial_14_L_unaffected,miscal4,interjoint_coordination,0.9679648517455666,0.9445628823109831
P07,trial_14_L_unaffected,miscal4,max_shoulder_abduction,28.63302913794422,30.598710223326055
P07,trial_14_L_unaffected,miscal4,number_of_movement_units,3.1,1.0
P07,trial_14_L_unaffected,miscal4,max_shoulder_flexion,55.25514450334148,59.49030647647549
P07,trial_15_L_unaffected,full,max_shoulder_flexion,55.03263442154774,59.02507750387635
P07,trial_15_L_unaffected,full,max_shoulder_abduction,25.77303044744537,28.337440606051725
P07,trial_15_L_unaffected,full,max_elbow_angle,148.35547543213036,146.3124310945136
P07,trial_15_L_unaffected,full,peak_elbow_angular_velocity,119.97640408704996,102.0622269268344
P07,trial_15_L_unaffected,full,interjoint_coordination,0.9767735916288969,0.9434220911095781
P07,trial_15_L_unaffected,full,max_trunk_displacement,41.794168210283644,30.219970703125
P07,trial_15_L_unaffected,full,peak_velocity,564.551513671875,625.3638198967247
P07,trial_15_L_unaffected,full,total_movement_time,6.216666666666667,6.23
P07,trial_15_L_unaffected,full,time_to_peak_velocity,0.65,0.62
P07,trial_15_L_unaffected,full,time_to_first_peak_velocity,0.6,0.62
P07,trial_15_L_unaffected,full,number_of_movement_units,2.0,2.0
P07,trial_15_L_unaffected,drop1,max_trunk_displacement,41.91652555707437,30.219970703125
