part,hip_vis,tilt,flex_mmc,flex_omc,gt
P07,0.054409005628517824,7.347136163541293,60.064502804611244,54.134051411731214,57.619569667507506
P07,0.060263653483992465,4.056956825063212,53.259980961888715,56.89926143786143,62.79601767313398
P07,0.03523489932885906,9.213828604531965,62.04914327838723,54.4429764358982,59.49030647647549
P07,0.17429193899782136,3.0134832793204267,50.459136181061275,53.202102065056444,59.02507750387635
P07,0.017408123791102514,5.111726596863748,54.6475337982668,59.61132437947456,65.61415771994267
P07,0.012455516014234875,6.67423286162257,58.796794416551165,52.12331579642192,58.35659639088948
P07,0.052980132450331126,2.6645888511702567,42.892286033985556,45.26703856246204,52.490643363836185
P07,0.11993243243243243,3.978749493933019,39.24534227398796,42.972680361820515,49.92392951715217
P07,0.1401151631477927,3.4346702581825204,51.36870597003868,54.800798678378484,59.001576883282986
P07,0.04674457429048414,3.380831622074744,54.03279697922396,57.388840583775135,63.82855335154239
P07,0.0456140350877193,3.624101991872206,50.24344581307659,53.50396676265146,58.48656774197301
P07,0.011472275334608031,4.508162023565274,45.29387476232798,49.640479506852536,54.91409605578645
P07,0.09550561797752809,4.908244504256944,43.92517193765719,48.82052587785836,53.5633699460561
P07,0.10828025477707007,4.046198583285344,54.72620228777383,53.152972204301115,57.76055246445462
P07,0.03747534516765286,3.681445785822735,55.29429061352841,58.897777346191994,64.42763332187123
P07,0.19553072625698323,2.727955079349078,57.87548114656895,60.599221604813685,65.91811358228601
P07,0.06451612903225806,4.157472408562513,52.624143974916365,56.759691918771566,61.9671376992882
P07,0.11355311355311355,4.269590790323635,59.9005226099229,56.0258479284502,58.79574081470223
P07,0.14954954954954955,3.4602975194138965,57.05116976588306,54.674008786069734,57.86595033696263
P07,0.14933837429111532,3.758382078046996,58.01507730312853,54.740834753123494,59.99429030424908
P07,0.12937062937062938,3.796393746140338,62.148590070254926,65.81497132843383,70.09563583556647
P07,0.05945945945945946,4.346292633515834,52.04806438552445,56.36256474409203,63.50926206449417
P07,0.034482758620689655,8.822419337119447,54.53346688504672,53.57771995623653,47.196314496763854
P07,0.025280898876404494,6.516008055052823,55.14271470172268,57.36333241624248,58.35226498811271
P07,0.022457067371202115,4.262013242467797,63.34484702026284,63.98718668749302,65.7169011875781
P07,0.01225114854517611,7.193772713323326,47.44829672596279,50.42177521327801,54.7117614928205
P07,0.025423728813559324,6.915409087512761,63.38022725517927,66.04255637392927,69.41501479979092
P07,0.04227405247813411,10.362278716687717,73.47948240751525,76.79244615436669,76.49339530799261
P07,0.06129032258064516,7.3742039240222805,62.53411650719042,64.30565010345234,67.61456430552526
P07,0.05451713395638629,5.948120351266136,66.50191388497622,67.73499552526496,70.35023163283661
P07,0.058823529411764705,7.435940056210176,62.80797444258682,64.83413467779778,67.2322203869085
P07,0.058029689608636977,7.4055427823417945,60.673325834760504,63.57222668101351,67.00928675531841
P07,0.08080808080808081,3.6913531365439347,60.704842526939544,61.43333063035746,62.72175128434914
P07,0.1048252911813644,3.3051839018955684,70.0944821758427,67.59844035663237,68.38738265533013
P07,0.030470914127423823,9.387089400042726,66.11382862918911,69.15804926901029,70.23249378019294
P07,0.017777777777777778,3.0641905677883083,42.40154978129381,43.140683682309565,50.31227625007398
P07,0.027359781121751026,10.063512224486551,39.724360134930876,43.38198808311032,47.006210435855586
P07,0.0984375,9.530968083390942,65.13844904594134,68.4675590862125,71.84141335713224
P07,0.13086770981507823,9.048925266742907,62.28158343623686,65.57204258054011,69.58423657318124
P07,0.08641975308641975,8.536136524007931,63.93108631190583,66.21074323529743,68.47569247696876
P07,0.06789250353606789,4.039482543057875,84.47295041615192,82.02510773072675,78.40730561746
P07,0.13193403298350825,3.556396537014411,85.71859939668886,82.93623733795602,80.5053336946798
P07,0.05635838150289017,7.5390223418895195,55.6256289199522,58.34063385539472,59.58119254194387
P07,0.02247191011235955,4.973148332531152,67.04676005485655,68.77181179304758,70.76377386015679
P07,0.00831353919239905,8.016945934092725,64.92574679164922,67.42973700946101,68.02639008892365
P07,0.016842105263157894,4.017426417186076,46.54735031263824,43.77167189203921,50.57890241682054
P07,0.03361344537815126,10.70995696905448,72.72644896017027,76.24895735105432,75.18095311983527
P07,0.012893982808022923,13.01837615490423,63.77893372457132,70.60589918226856,72.91706576711361
P07,0.04554455445544554,7.287722384914993,58.24992832070873,52.054466775175186,55.99218277043931
P08,0.016333938294010888,4.383480717291765,35.350407293538915,31.51947354968136,43.868189687847114
P08,0.0382262996941896,4.998664940434822,34.68751848158426,29.708324264442616,40.05797261666432
P08,0.018050541516245487,5.307317790135345,35.88394602408451,30.615543105542592,40.547045801407506
P08,0.012345679012345678,1.7097778296432242,29.986254168792478,29.42382642578594,41.844853117192066
P08,0.028119507908611598,3.6378978655979033,35.27734668625265,31.680616823998434,41.49869565732794
P08,0.061567164179104475,4.31846519143312,25.203016557773925,29.27384687448231,41.01702531288491
P08,0.11494252873563218,5.624571094878314,39.35109517367551,33.95084526505093,40.945056603677685
P08,0.06868686868686869,3.8799326075332026,25.05310730928412,28.844972362155044,40.22489887669896
P08,0.041176470588235294,5.133880176585402,35.39005268782569,30.364684935607688,40.266494766738106
P08,0.008620689655172414,5.527368464345253,35.40791464680759,31.411724981395448,40.6208483957873
P08,0.056572379367720464,5.972450204623018,36.39790948838864,30.595244771661186,42.05940259642888
P08,0.017513134851138354,3.832248893847524,24.520980556511,28.259989641005113,39.366766019126224
P08,0.04701627486437613,4.273737385334031,24.109776316707986,28.32172845977437,39.31464376010786
P08,0.013793103448275862,4.050378971654488,26.49889000461569,29.990598652269657,40.77560680617561
P08,0.015358361774744027,5.247514739194268,36.28859298480862,31.4571138356025,40.2386206179178
P08,0.025,5.793297986305883,37.44841871662598,32.048323165112684,41.206371000434785
P08,0.06972789115646258,4.508931250493517,35.79884658828023,31.344195027253345,40.11939894244675
P08,0.033950617283950615,5.013153171107445,36.32301223726999,31.501578481564398,40.566913045728136
P08,0.04397163120567376,5.017337838197626,39.69592356076643,34.73403365341686,41.03995700806115
P08,0.06046511627906977,5.629553535347007,38.16166409599298,32.54601966993179,39.24931028622281
P08,0.08291873963515754,3.0922636164738053,26.970239068607448,29.867498586594234,40.44102619226449
P08,0.12244897959183673,5.566928252281987,38.9565771707861,33.67850183883714,39.99098651828131
P08,0.04371584699453552,7.686676343215313,28.507315060331784,30.790323471582706,42.006071204239895
P08,0.11921708185053381,5.358375795554784,39.41425505003789,34.19137552652122,43.19587317819733
